validScientificName,scientificNameAuthorship,seedStructure,lifeCycleHabit,growthHabit,c,s,r,csr,priority
Abarema cochliocarpos,(Gomes) Barneby & J.W.Grimes,Dicot,perennial,tree,22.83,61.39,15.78,S/CSR,7
Jupunba macradenia,"(Pittier) M.V.B.Soares, M.P.Morim & Iganci",Dicot,perennial,tree,54.76,45.24,0,CS,7
Abuta racemosa,Triana & Planch.,Dicot,perennial,liana,29.59,63.12,7.28,S/CS,7
Abutilon theophrasti,Medik.,Dicot,annual,forb,66.59,14.07,19.34,C/CR,9
Acalypha diversifolia,Jacq.,Dicot,perennial,shrub,43.52,35.93,20.55,CS/CSR,7
Acalypha macrostachya,Jacq.,Dicot,perennial,shrub,67.91,11.3,20.79,C/CR,7
Acalypha virginica,L.,Dicot,annual,forb,28.02,30.08,41.9,CSR,2
Acer campestre,L.,Dicot,perennial,tree,42.29,29.41,28.3,CSR,1
Acer monspessulanum,L.,Dicot,perennial,tree,23.49,68.83,7.69,S/CS,1
Acer negundo,L.,Dicot,perennial,tree,50.38,23.31,26.31,C/CSR,2
Acer opalus,Mill.,Dicot,perennial,tree,47.55,25.57,26.88,C/CSR,1
Acer platanoides,L.,Dicot,perennial,tree,48.76,35.31,15.93,CS/CSR,1
Acer pseudoplatanus,L.,Dicot,perennial,tree,37.51,54.93,7.55,CS,1
Acer saccharum,Marshall,Dicot,perennial,tree,27.13,56.44,16.43,S/CSR,4
Orchis anthropophora,All.,Monocot,perennial,forb,41.33,0,58.67,CR,1
Achillea atrata,L.,Dicot,perennial,forb,10.13,25.27,64.6,R/SR,1
Achillea salicifolia  subsp. salicifolia,"",Dicot,perennial,forb,23.48,26.19,50.33,R/CSR,1
Achillea clavennae,L.,Dicot,perennial,forb,48.55,0,51.45,CR,1
Achillea collina,(Becker ex Rchb.f.) Heimerl,Dicot,perennial,forb,41.02,15.79,43.19,CR/CSR,1
Achillea macrophylla,L.,Dicot,perennial,forb,64.71,0,35.29,C/CR,1
Achillea millefolium,L.,Dicot,perennial,forb,22.02,58.81,19.18,S/CSR,1
Achillea erba-rotta  subsp. moschata,(Wulfen) I.Richardson,Dicot,perennial,forb,5.8,58.94,35.26,SR,1
Achillea pannonica,Scheele,Dicot,perennial,forb,23.79,76.21,0,S/CS,1
Achillea roseo-alba,Ehrend.,Dicot,perennial,forb,36.2,14.11,49.69,CR/CSR,1
Achnatherum calamagrostis,P.Beauv.,Monocot,perennial,graminoid,43.37,40.86,15.77,CS/CSR,1
Clinopodium acinos,Kuntze,Dicot,perennial,forb,2.87,50.89,46.23,SR,1
Aconitum lycoctonum,L.,Dicot,perennial,forb,74.03,0,25.97,C/CR,1
Aconitum × czarnohorense,(Zapał.) Mitka,Dicot,perennial,forb,66.9,3.8,29.3,C/CR,1
Aconitum nasutum,Rchb.,Dicot,perennial,forb,47.28,9.32,43.41,CR,1
Acorus calamus  var. calamus,"",Monocot,perennial,forb,5.83,61.14,33.03,S/SR,1
