validScientificName
Abarema cochliocarpos (Gomes) Barneby & J.W. Grimes
Abarema macradenia (Pittier) Barneby & J.W. Grimes
Abuta racemosa (Thunb.) Triana & Planch.
Abutilon theophrasti Medik.
Acalypha diversifolia Jacq.
Acalypha macrostachya Jacq.
Acalypha virginica L.
Acer campestre L.
Acer monspessulanum L.
Acer negundo L.
Acer opalus Mill.
Acer platanoides L.
Acer pseudoplatanus L.
Acer saccharum Marshall
Aceras anthropophorum (L.) W.T. Aiton
Achillea atrata L.
Achillea cartilaginea Ledeb.
Achillea clavenae L.
Achillea collina (Becker ex Rchb. f.) Heimerl
Achillea macrophylla L.
Achillea millefolium L.
Achillea moschata Wulfen
Achillea pannonica Scheele
Achillea roseo-alba Ehrend.
Achnatherum calamagrostis (L.) P. Beauv.
Acinos arvensis (Lam.) Dandy
Aconitum lycoctonum L.
Aconitum napellus L.
Aconitum nasutum Fisch. ex Rchb.
Acorus calamus L.
Actaea spicata L.
Adelia triloba (Müll. Arg.) Hemsl.
Adenostyles alliariae (Gouan) A. Kern. alliariae
Adenostyles glabra (Mill.) DC.
Adenostyles leucophylla (Willd.) Rchb.
Adiantum capillus-veneris L.
Adonis aestivalis L.
Adonis vernalis L.
Adoxa moschatellina L. moschatellina
Aegilops geniculata Roth
Aegiphila cephalophora Standl.
Aegiphila elata Sw.
Aegiphila panamensis Moldenke
Aegiphila pernambucensis Moldenke
Aegopodium podagraria L.
Aesculus hippocastanum L.
Aetheopappus caucasicus Sosn.
Aethusa cynapium L.
Agalinis brachyphylla (Cham. & Schltdl.) D'Arcy
Agave virginica L.
Agonandra brasiliensis Miers ex Benth. & Hook. f.
Agoseris glauca (Pursh) Raf.
Agrimonia eupatoria L. eupatoria
Agrimonia gryposepala Wallr.
Agrimonia procera Wallr.
Agrimonia pubescens Wallr.
Agropyron desertorum (Fisch. ex Link) Schult.
Agropyron junceum (L.) Beauv.
Agropyron repens (L.) P. Beauv.
Agrostemma githago L.
Agrostis alba L.
Agrostis alpina Scop.
Agrostis canina L.
Agrostis capillaris L.
Agrostis gigantea Roth
"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb."
Agrostis mertensii Trin.
Agrostis rupestris All.
Agrostis schraderiana Bech.
Agrostis stolonifera L.
Agrostis tenuis Sibth.
Agrostis vinealis Schreb.
Aidia densiflora (Wall.) Masam.
Ailanthus altissima (Mill.) Swingle
Aira praecox L.
Ajuga chamaepitys (L.) Schreber chamaepitys
Ajuga genevensis L.
Ajuga orientalis L.
Ajuga pyramidalis L.
Ajuga reptans L.
Alangium ebenaceum (C.B. Clarke) Harms
Albizia julibrissin Durazz.
Alcea rosea L.
Alchemilla alpina L.
Alchemilla caucasica Buser
Alchemilla glabra Neygenf.
Alchemilla glaucescens Wallr.
Alchemilla mollis (Buser) Rothm.
Alchemilla monticola Opiz
Alchemilla pentaphyllea L.
Alchemilla propinqua Lindb. fil. ex Juz.
Alchemilla subcrenata Buser
Alchemilla subglobosa G.C. Westerl.
Alchemilla vulgaris L.
Alchemilla xanthochlora Rothm.
Alchornea costaricensis Pax & K. Hoffm.
Alchornea latifolia Sw.
Alibertia edulis (Rich.) A. Rich. ex DC.
Alibertia myrciifolia K. Schum.
Alisma lanceolatum With.
Alisma plantago-aquatica L.
Alliaria petiolata (M. Bieb.) Cavara & Grande
Allium carinatum L.
Allium insubricum Boiss. & Reut.
Allium paradoxum (M. Bieb.) G. Don
Allium senescens L.
Allium sphaerocephalon L.
Allium ursinum L. ursinum
Allium vineale L.
"Allophylus edulis (A. St.-Hil., A. Juss. & Cambess.) Hieron. ex Niederl."
Allophylus psilospermus Radlk.
Alnus cordata (Loisel.) Loisel.
Alnus glutinosa (L.) Gaertn.
Alnus incana (L.) Moench
Alnus viridis (Chaix) DC.
Alopecurus aequalis Sobol.
Alopecurus geniculatus L.
Alopecurus pratensis L.
Alphonsea maingayi Hook. f. & Thomson
Alseis blackiana Hemsl.
Alseis pickelii Pilger & Schmale
Althaea officinalis L.
Alyssum alyssoides (L.) L.
Alyssum montanum L.
Amaioua corymbosa Kunth
Amaranthus caudatus L.
Amaranthus deflexus L.
Amaranthus lividus L.
Amaranthus powelli S. Watson
Amaranthus retroflexus L.
Ambrosia artemisiifolia L.
Ambrosia coronopifolia Torr. & A. Gray
Ambrosia psilostachya DC.
Ambrosia trifida L.
Amelanchier lamarckii F.G. Schroed.
