validScientificName,family.ORIG,order,superOrder,seedStructure,lifeCycleHabit,growthHabit,c,s,r,csr,priority,validScientificName.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.toomany,Fuzzy.two,Fuzzy.one,Fuzzy.dist,OriSeq,Subseq,taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,references,source,majorGroup,tplID,Hybrid,New.accepted,Old.status,Old.ID,Old.name
Abarema cochliocarpos,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,22.83,61.39,15.78,S/CSR,7,Abarema cochliocarpos (Gomes) Barneby & J.W. Grimes,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,1,1,wfo-0000194208,urn:lsid:ipni.org:names:1020872-2,40830,Abarema cochliocarpos,species,wfo-4000000013,(Gomes) Barneby & J.W.Grimes,Fabaceae,"","",,Abarema,"",cochliocarpos,"",species,Valid,Mem. New York Bot. Gard.74(1): 94 (1996),Accepted,"","",,"Source in seed data: ildis Update namepublishedIn from  to Mem. New York Bot. Gard. 74(1): 94 (1996), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-40830 >The Pl",https://www.legumedata.org/taxonomy/taxon/609316,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,ild-40830,"",FALSE,"","",""
Abarema macradenia,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,54.76,45.24,0,CS,7,Abarema macradenia (Pittier) Barneby & J.W. Grimes,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,2,1,wfo-1000002946,urn:lsid:ipni.org:names:77218795-1,urn:lsid:legumedata.org:Fabaceae:1274586,Jupunba macradenia,species,wfo-4000019729,"(Pittier) M.V.B.Soares, M.P.Morim & Iganci",Fabaceae,"","",,Jupunba,"",macradenia,"",species,Valid,Bot. J. Linn. Soc.196: 473 (2021),Accepted,"","",,"",https://www.legumedata.org/taxonomy/taxon/1274586,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,"","",TRUE,Synonym,wfo-0000194010,Abarema macradenia
Abuta racemosa,Menispermaceae,Ranunculales,Ranunculanae,Dicot,perennial,liana,29.59,63.12,7.28,S/CS,7,Abuta racemosa (Thunb.) Triana & Planch.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,3,1,wfo-0000511671,urn:lsid:ipni.org:names:580077-1,742811,Abuta racemosa,species,wfo-4000000066,Triana & Planch.,Menispermaceae,"","",,Abuta,"",racemosa,"",species,Valid,"Ann. Sci. Nat., Bot. , sér. 4, 17: 48 (1862)",Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Ann. Sci. Nat., Bot. sér. 4, 17: 48. 1862  to Ann. Sci. Nat., Bot. , sér. 4, 17: 48 (1862), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.the",http://www.theplantlist.org/tpl1.1/record/kew-2610403,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2610403,"",FALSE,"","",""
Abutilon theophrasti Medik.,Malvaceae,Malvales,Rosanae,Dicot,annual,forb,66.59,14.07,19.34,C/CR,9,Abutilon theophrasti Medik.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,7,4,1,wfo-0000512325,urn:lsid:ipni.org:names:1044174-2,743415,Abutilon theophrasti,species,wfo-4000000069,Medik.,Malvaceae,"","",,Abutilon,"",theophrasti,"",species,Valid,Malvenfam. : 28 (1787),Accepted,"",wfo-0000496721,,"Source in seed data: cmp Update namepublishedIn from Malvenfam. 28 1787  to Malvenfam. : 28 (1787), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2611008 >The Pl",http://www.theplantlist.org/tpl1.1/record/kew-2611008,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2611008,"",FALSE,"","",""
Acalypha diversifolia Jacq.,Euphorbiaceae,Malpighiales,Rosanae,Dicot,perennial,shrub,43.52,35.93,20.55,CS/CSR,7,Acalypha diversifolia Jacq.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,11,5,1,wfo-0000926669,urn:lsid:ipni.org:names:1228-2,487,Acalypha diversifolia,species,wfo-4000000080,Jacq.,Euphorbiaceae,"","",,Acalypha,"",diversifolia,"",species,Valid,Pl. Hort. Schoenbr. 2: 63 (1797),Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Pl. Hort. Schoenbr. 2: 63 1797  to Pl. Hort. Schoenbr. 2: 63 (1797), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/reco",http://www.theplantlist.org/tpl1.1/record/kew-487,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-487,"",TRUE,Synonym,wfo-0001371897,Acalypha diversifolia var. genuina
Acalypha macrostachya Jacq.,Euphorbiaceae,Malpighiales,Rosanae,Dicot,perennial,shrub,67.91,11.3,20.79,C/CR,7,Acalypha macrostachya Jacq.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,11,6,1,wfo-0000966407,urn:lsid:ipni.org:names:1362-2,838,Acalypha macrostachya,species,wfo-4000000080,Jacq.,Euphorbiaceae,"","",,Acalypha,"",macrostachya,"",species,Valid,Pl. Hort. Schoenbr. 2: 63 (1797),Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Pl. Rar. Hort. Schoenbr. 2: 63, t. 245. 1797  to Pl. Hort. Schoenbr. 2: 63 (1797), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.o",http://www.theplantlist.org/tpl1.1/record/kew-838,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-838,"",TRUE,Synonym,wfo-0000967321,Acalypha macrostachya var. tristis
Acalypha macrostachya Jacq.,Euphorbiaceae,Malpighiales,Rosanae,Dicot,perennial,shrub,67.91,11.3,20.79,C/CR,7,Acalypha macrostachya Jacq.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,11,6,2,wfo-0000966407,urn:lsid:ipni.org:names:1362-2,838,Acalypha macrostachya,species,wfo-4000000080,Jacq.,Euphorbiaceae,"","",,Acalypha,"",macrostachya,"",species,Valid,Pl. Hort. Schoenbr. 2: 63 (1797),Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Pl. Rar. Hort. Schoenbr. 2: 63, t. 245. 1797  to Pl. Hort. Schoenbr. 2: 63 (1797), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.o",http://www.theplantlist.org/tpl1.1/record/kew-838,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-838,"",TRUE,Synonym,wfo-0001372837,Acalypha macrostachya var. genuina
Acalypha virginica L.,Euphorbiaceae,Malpighiales,Rosanae,Dicot,annual,forb,28.02,30.08,41.9,CSR,2,Acalypha virginica L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,3,7,1,wfo-0000943296,urn:lsid:ipni.org:names:1278-2,617,Acalypha gracilens,species,wfo-4000000080,A.Gray,Euphorbiaceae,"","",,Acalypha,"",gracilens,"",species,Valid,Manual : 408 (1848),Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Manual 408 1848  to Manual : 408 (1848), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-617 >The Plant List v",http://www.theplantlist.org/tpl1.1/record/kew-617,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-617,"",TRUE,Synonym,wfo-0000252069,Acalypha virginica
Acalypha virginica L.,Euphorbiaceae,Malpighiales,Rosanae,Dicot,annual,forb,28.02,30.08,41.9,CSR,2,Acalypha virginica L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,3,7,2,wfo-0000959997,urn:lsid:ipni.org:names:337529-1,777,Acalypha lanceolata,species,wfo-4000000080,Willd.,Euphorbiaceae,"","",,Acalypha,"",lanceolata,"",species,Valid,"Sp. Pl., ed. 4 , 4: 524 (1805)",Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 4: 524 1805  to Sp. Pl., ed. 4 , 4: 524 (1805), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-777 >T",http://www.theplantlist.org/tpl1.1/record/kew-777,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-777,"",TRUE,Synonym,wfo-0000252165,Acalypha virginica
Acalypha virginica L.,Euphorbiaceae,Malpighiales,Rosanae,Dicot,annual,forb,28.02,30.08,41.9,CSR,2,Acalypha virginica L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,3,7,3,wfo-0000252267,urn:lsid:ipni.org:names:1586-2,1359,Acalypha virginica,species,wfo-4000000080,L.,Euphorbiaceae,"","",,Acalypha,"",virginica,"",species,Valid,Sp. Pl. : 1003 (1753),Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 2: 1003. 1753 [1 May 1753]  to Sp. Pl. : 1003 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-",http://www.theplantlist.org/tpl1.1/record/kew-1359,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-1359,"",FALSE,"","",""
