key,scientificName,decimalLatitude,decimalLongitude,issues,datasetKey,publishingOrgKey,networkKeys,installationKey,hostingOrganizationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,basisOfRecord,individualCount,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,iucnRedListCategory,dateIdentified,coordinateUncertaintyInMeters,elevation,continent,stateProvince,year,month,day,eventDate,modified,lastInterpreted,license,organismQuantityType,isInCluster,datasetID,datasetName,recordedBy,identifiedBy,preparations,samplingProtocol,geodeticDatum,class,countryCode,country,recordNumber,eventID,identifier,county,locality,fieldNumber,gbifID,collectionCode,occurrenceID,catalogNumber,institutionCode,locationID,accessRights,collectionID,institutionKey,name,dynamicProperties,associatedReferences,municipality,identificationVerificationStatus,fieldNotes,identificationRemarks,eventTime,references,rightsHolder,http...unknown.org.nick,verbatimEventDate,verbatimLocality,taxonID,http...unknown.org.captive,identificationID,footprintWKT,habitat,http...unknown.org.language,occurrenceRemarks,elevationAccuracy,otherCatalogNumbers,collectionKey,institutionID,georeferenceRemarks,verbatimIdentification,lifeStage,vernacularName,higherClassification,infraspecificEpithet,reproductiveCondition,eventRemarks,identificationQualifier,projectId
3922883565,Rosa dumalis Bechst.,63.445355,10.423522,cdround,f06ed729-104f-4e51-9db3-dfd9b228a1be,a8144f37-5ff7-4137-9400-94b5b2ea4ec4,17abcf75-2f1e-46dd-bf75-a5b21dd02655,f54ed5ce-9755-46c8-b6e7-67bc3a46ed5b,a8144f37-5ff7-4137-9400-94b5b2ea4ec4,NO,EML,2023-11-13T13:16:36.431+00:00,2023-11-13T13:22:46.090+00:00,406,HUMAN_OBSERVATION,1,PRESENT,3003708,6,7707728,220,691,5015,8395064,3003708,3003708,Rosa dumalis Bechst.,Plantae,Tracheophyta,Rosales,Rosaceae,Rosa,Rosa dumalis,Rosa,dumalis,SPECIES,ACCEPTED,NE,1990-01-01T00:00:00,1000,24,EUROPE,Sør-Trøndelag,1990,11,30,1990-11-30T00:00:00,2022-03-17T19:16:37.386+00:00,2023-11-13T13:22:46.090+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,Occurrence,FALSE,1222d9b0-bd6a-4542-869d-f992f55347c8,Vascular plant field notes,"Krovoll, A.","Krovoll, A.",data,Survey - Inventory,WGS84,Magnoliopsida,NO,Norway,3958,urn:uuid:b9a5557a-7820-4a7e-81c5-472107bb54fc,urn:uuid:1d8ea651-85ef-4be4-8f88-a918995af67e,Trondheim,Lade,"locality: Lade | cartographicCoordinates: 32 V 571000 7036000 | siteNumber: Cross list nr 2 | stationNumber: XL nr: 001518_TRH1SY | eventDate: 1990-11-30 | samplingProtocol: Survey - Inventory | samplingEffort: 1 | sampleNumber: 1518",3922883565,XL,urn:uuid:1d8ea651-85ef-4be4-8f88-a918995af67e,XL-1518,NTNU-VM,e2cebc08-89c7-428e-a05e-78c6a3f4af98,CC-BY 4.0,598d4b4e-be50-463f-91f4-f1f2c5f79e7b,,Rosa dumalis Bechst.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3770664402,Potentilla verna L.,63.44528,10.421625,"cdc,cdround,gass84",b124e1e0-4755-430f-9eab-894f25a9b59c,d3978a37-635a-4ae3-bb85-7b4d41bc0b88,,7bdf9f6d-317a-45ec-8bb7-7ff61345d6a6,d3978a37-635a-4ae3-bb85-7b4d41bc0b88,NO,EML,2023-11-21T14:55:11.920+00:00,2023-11-21T16:53:50.843+00:00,303,HUMAN_OBSERVATION,,PRESENT,8182596,6,7707728,220,691,5015,8079058,8182596,8182596,Potentilla verna L.,Plantae,Tracheophyta,Rosales,Rosaceae,Potentilla,Potentilla verna,Potentilla,verna,SPECIES,ACCEPTED,NE,,5,,EUROPE,Trøndelag,2022,5,10,2022-05-10T00:00:00,2022-09-05T15:39:00.000+00:00,2023-11-21T16:53:50.843+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,,FALSE,,,Hauk Liebe,,,,WGS84,Magnoliopsida,NO,Norway,,,urn:uuid:546c926f-edfe-4bdc-9ad7-7b918e7fcffb,Trøndelag,"Ladehammeren, Trondheim, Tø",,3770664402,so2-vascular,urn:uuid:546c926f-edfe-4bdc-9ad7-7b918e7fcffb,29214207,nbf,1877447,,,,Potentilla verna L.,"{""ValidationStatus"":""Approved Documented""}",https://www.artsobservasjoner.no/Sighting/29214207,Trondheim,validated,Validationstatus: Approved Documented,Validator: Even W. Hanssen,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042398909,Mesoptychia bantriensis (Hook.) L.Söderstr. & Váňa,63.4454,10.4235,"cdc,incomis,inmafu",6728c42d-c4b6-4fda-a211-5ad1bb59cda4,a8144f37-5ff7-4137-9400-94b5b2ea4ec4,17abcf75-2f1e-46dd-bf75-a5b21dd02655,c4e83f8a-f24c-4573-a197-f085ca242917,64795dcb-ad74-41b3-95e5-cc52ba754776,NO,EML,2023-11-20T12:04:02.967+00:00,2023-11-20T12:10:05.821+00:00,2458,PRESERVED_SPECIMEN,,PRESENT,9011379,6,9,126,381,6136,2689389,9011379,9011379,Mesoptychia bantriensis (Hook.) L.Söderstr. & Váňa,Plantae,Marchantiophyta,Jungermanniales,Jungermanniaceae,Mesoptychia,Mesoptychia bantriensis,Mesoptychia,bantriensis,SPECIES,ACCEPTED,NE,,1414,,EUROPE,Trøndelag,1888,5,31,1888-05-31T00:00:00,2017-01-15T00:00:00.000+00:00,2023-11-20T12:10:05.821+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,,FALSE,,,Ingebrigt Hagen,Eugen Jørgensen,,,WGS84,Jungermanniopsida,NO,Norway,,,urn:catalog:TRH:B:63102/1,Trondheim,"Trondhjem, Ladehammeren",,1042398909,B,urn:catalog:TRH:B:63102/1,63102/1,TRH,,,,a7989e09-c585-449d-b2a8-f4efd00712c4,Mesoptychia bantriensis (Hook.) L.Söderstr. & Váňa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4065169521,Echium vulgare L.,63.444076,10.427276,"cdc,cdround,gass84",b124e1e0-4755-430f-9eab-894f25a9b59c,d3978a37-635a-4ae3-bb85-7b4d41bc0b88,,7bdf9f6d-317a-45ec-8bb7-7ff61345d6a6,d3978a37-635a-4ae3-bb85-7b4d41bc0b88,NO,EML,2023-11-21T14:55:11.920+00:00,2023-11-21T16:54:58.460+00:00,303,HUMAN_OBSERVATION,3,PRESENT,2925892,6,7707728,220,7226464,2498,2925888,2925892,2925892,Echium vulgare L.,Plantae,Tracheophyta,Boraginales,Boraginaceae,Echium,Echium vulgare,Echium,vulgare,SPECIES,ACCEPTED,NE,,5,,EUROPE,Trøndelag,2023,3,20,2023-03-20T00:00:00,2023-03-21T16:00:39.000+00:00,2023-11-21T16:54:58.460+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,,FALSE,,,Terje O. Nordvik,"Wesenberg, Jan",,,WGS84,Magnoliopsida,NO,Norway,,,urn:uuid:dfbbf675-8261-4d2c-ba6e-4b231150b417,Trøndelag,"Ladehammeren, Trondheim, Tø",,4065169521,so2-vascular,urn:uuid:dfbbf675-8261-4d2c-ba6e-4b231150b417,31408768,nbf,2139750,,,,Echium vulgare L.,,https://www.artsobservasjoner.no/Sighting/31408768,Trondheim,,"Nyttige kommentarer på Fb, Villblomster:https://www.facebook.com/groups/villblomster/posts/6356071827786848/?comment_id=6356610907732940&reply_comment_id=6358464524214245&notif_id=1679405320616488&notif_t=group_comment&ref=notif. Quantity: 3 Plants",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042439533,Weissia controversa Hedw.,63.4447,10.4226,"cdc,incomis,inmafu",6728c42d-c4b6-4fda-a211-5ad1bb59cda4,a8144f37-5ff7-4137-9400-94b5b2ea4ec4,17abcf75-2f1e-46dd-bf75-a5b21dd02655,c4e83f8a-f24c-4573-a197-f085ca242917,64795dcb-ad74-41b3-95e5-cc52ba754776,NO,EML,2023-11-20T12:04:02.967+00:00,2023-11-20T12:10:16.207+00:00,2458,PRESERVED_SPECIMEN,,PRESENT,5280927,6,35,327,621,4671,2671582,5280927,5280927,Weissia controversa Hedw.,Plantae,Bryophyta,Pottiales,Pottiaceae,Weissia,Weissia controversa,Weissia,controversa,SPECIES,ACCEPTED,NE,2010-02-09T00:00:00,1,13,EUROPE,Trøndelag,2009,6,4,2009-06-04T00:00:00,2017-01-15T00:00:00.000+00:00,2023-11-20T12:10:16.207+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,,FALSE,,,Kristian Hassel,Kristian Hassel,,,WGS84,Bryopsida,NO,Norway,,,urn:catalog:TRH:B:692175/1,Trondheim,Ladehammeren,,1042439533,B,urn:catalog:TRH:B:692175/1,692175/1,TRH,,,,a7989e09-c585-449d-b2a8-f4efd00712c4,Weissia controversa Hedw.,,,,,,,,,,,,,,,,,"Bar jord over berg, S-vendt",,,0,,,,,,,,,,,,,
4173450176,Petrosedum rupestre (L.) P.V.Heath,63.444774,10.422622,"cdc,cdround,gass84",b124e1e0-4755-430f-9eab-894f25a9b59c,d3978a37-635a-4ae3-bb85-7b4d41bc0b88,,7bdf9f6d-317a-45ec-8bb7-7ff61345d6a6,d3978a37-635a-4ae3-bb85-7b4d41bc0b88,NO,EML,2023-11-21T14:55:11.920+00:00,2023-11-21T17:01:25.380+00:00,303,HUMAN_OBSERVATION,,PRESENT,7618770,6,7707728,220,7219248,2406,8125432,7618770,7618770,Petrosedum rupestre (L.) P.V.Heath,Plantae,Tracheophyta,Saxifragales,Crassulaceae,Petrosedum,Petrosedum rupestre,Petrosedum,rupestre,SPECIES,ACCEPTED,NE,,10,,EUROPE,Trøndelag,2023,7,29,2023-07-29T00:00:00,2023-08-05T15:50:41.000+00:00,2023-11-21T17:01:25.380+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,,FALSE,,,Bjørn S. Tanem,,,,WGS84,Magnoliopsida,NO,Norway,,,urn:uuid:ea9d9a27-9265-4ed7-bf06-1614d575f48a,Trøndelag,"Bergskrent ved Ormen Langes vei, Trondheim, Tø",,4173450176,so2-vascular,urn:uuid:ea9d9a27-9265-4ed7-bf06-1614d575f48a,32650947,nbf,2267021,,,,Petrosedum rupestre (L.) P.V.Heath,,https://www.artsobservasjoner.no/Sighting/32650947,Trondheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042308014,Ptychostomum compactum Hornsch.,63.4454,10.4235,"cdc,incomis,inmafu",6728c42d-c4b6-4fda-a211-5ad1bb59cda4,a8144f37-5ff7-4137-9400-94b5b2ea4ec4,17abcf75-2f1e-46dd-bf75-a5b21dd02655,c4e83f8a-f24c-4573-a197-f085ca242917,64795dcb-ad74-41b3-95e5-cc52ba754776,NO,EML,2023-11-20T12:04:02.967+00:00,2023-11-20T12:10:06.577+00:00,2458,PRESERVED_SPECIMEN,,PRESENT,8420080,6,35,327,1333,8736,3230073,8420080,8420080,Ptychostomum compactum Hornsch.,Plantae,Bryophyta,Bryales,Bryaceae,Ptychostomum,Ptychostomum compactum,Ptychostomum,compactum,SPECIES,ACCEPTED,NE,1890-06-30T00:00:00,1414,,EUROPE,Trøndelag,1890,6,30,1890-06-30T00:00:00,2017-01-15T00:00:00.000+00:00,2023-11-20T12:10:06.577+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,,FALSE,,,Ingebrigt Hagen,Ingebrigt Hagen,,,WGS84,Bryopsida,NO,Norway,,,urn:catalog:TRH:B:55720/1,Trondheim,"Strinden, Ladehammeren",,1042308014,B,urn:catalog:TRH:B:55720/1,55720/1,TRH,,,,a7989e09-c585-449d-b2a8-f4efd00712c4,Ptychostomum compactum Hornsch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2398838895,Cotoneaster lucidus Schltdl.,63.444047,10.427267,"cdc,cdround,gass84",b124e1e0-4755-430f-9eab-894f25a9b59c,d3978a37-635a-4ae3-bb85-7b4d41bc0b88,,7bdf9f6d-317a-45ec-8bb7-7ff61345d6a6,d3978a37-635a-4ae3-bb85-7b4d41bc0b88,NO,EML,2023-11-21T14:55:11.920+00:00,2023-11-21T16:56:54.126+00:00,303,HUMAN_OBSERVATION,8,PRESENT,3025769,6,7707728,220,691,5015,3025563,3025770,3025770,Cotoneaster acutifolius Turcz.,Plantae,Tracheophyta,Rosales,Rosaceae,Cotoneaster,Cotoneaster acutifolius,Cotoneaster,lucidus,SPECIES,SYNONYM,NE,,5,,EUROPE,Trøndelag,2012,6,25,2012-06-25T00:00:00,2013-06-20T16:55:00.000+00:00,2023-11-21T16:56:54.126+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,,FALSE,358,Fremmede plantearter Trondheim,"Trondheim Kommune Miljøenheten|Sille Marie Myreng",,,,WGS84,Magnoliopsida,NO,Norway,,,urn:uuid:51b0faf2-c98b-4edb-a0c5-317e5e40262d,Trøndelag,"Ladehammeren, sørvestberget, Trondheim, Tø",,2398838895,so2-vascular,urn:uuid:51b0faf2-c98b-4edb-a0c5-317e5e40262d,12063092,nbf,183374,,,,Cotoneaster lucidus Schltdl.,,https://www.artsobservasjoner.no/Sighting/12063092,Trondheim,,Quantity: 8 m2,,,,,,,,,,,,,,,,NBF/SO-Plants/1997400,,,,,,,,,,,,
4080997318,Hepatica nobilis Schreb.,63.445032,10.42111,"cdc,cdround",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,,997448a8-f762-11e1-a439-00145eb45e9a,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2023-11-21T21:15:02.529+00:00,2023-11-22T06:33:12.441+00:00,412,HUMAN_OBSERVATION,,PRESENT,5371699,6,7707728,220,399,2410,3033655,5371699,5371699,Hepatica nobilis Schreb.,Plantae,Tracheophyta,Ranunculales,Ranunculaceae,Hepatica,Hepatica nobilis,Hepatica,nobilis,SPECIES,ACCEPTED,NE,2023-04-09T10:52:49,8,,EUROPE,Sør-Trøndelag,2023,4,9,2023-04-09T12:51:32,2023-04-12T11:09:41.000+00:00,2023-11-22T06:33:12.441+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,,FALSE,,iNaturalist research-grade observations,John Magne Grindeland,John Magne Grindeland,,,WGS84,Magnoliopsida,NO,Norway,,,154078683,,,,4080997318,Observations,https://www.inaturalist.org/observations/154078683,154078683,iNaturalist,,,,,Hepatica nobilis Schreb.,,,,,,,12:51:32+02:00,https://www.inaturalist.org/observations/154078683,John Magne Grindeland,jmgrinde,2023-04-09 12:51:32,"Lade, ved Ladejarlen og klatrehallen",639660,wild,348369466,,,,,,,,,,,,,,,,,,
4018275407,Plantago lanceolata L.,63.445358,10.422108,"cdc,cdround",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,,997448a8-f762-11e1-a439-00145eb45e9a,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2023-11-21T21:15:02.529+00:00,2023-11-22T05:47:51.120+00:00,412,HUMAN_OBSERVATION,,PRESENT,8208358,6,7707728,220,408,2420,3189695,8208358,8208358,Plantago lanceolata L.,Plantae,Tracheophyta,Lamiales,Plantaginaceae,Plantago,Plantago lanceolata,Plantago,lanceolata,SPECIES,ACCEPTED,NE,2021-05-02T12:18:02,3,,EUROPE,Sør-Trøndelag,2021,5,2,2021-05-02T14:17:15,2023-07-08T03:51:43.000+00:00,2023-11-22T05:47:51.120+00:00,http://creativecommons.org/publicdomain/zero/1.0/legalcode,,FALSE,,iNaturalist research-grade observations,John Magne Grindeland,John Magne Grindeland,,,WGS84,Magnoliopsida,NO,Norway,,,76504450,,,,4018275407,Observations,https://www.inaturalist.org/observations/76504450,76504450,iNaturalist,,,,,Plantago lanceolata L.,,,,,,,14:17:15+02:00,https://www.inaturalist.org/observations/76504450,John Magne Grindeland,jmgrinde,2021-05-02 14:17:15,SV for Ladejarlen vgs,53178,wild,170249965,,,,,,,,,,,,,,,,,,
