validScientificName,scientificNameAuthorship,popularName,phylum,order,family,genus,taxonRank,iucnRedListCategory,riskCategory,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,year,taxonomicStatus,nomenclaturalStatus,New.accepted,Old.name,One.Reason,datasetKey
Rosa dumalis,Tratt. ex Link,,Tracheophyta,Rosales,Rosaceae,Rosa,species,NE,,10.423522,63.445355,1000,1990,Unchecked,"",FALSE,"",smallest ID,f06ed729-104f-4e51-9db3-dfd9b228a1be
Potentilla brauniana,Hoppe ex Nestl.,,Tracheophyta,Rosales,Rosaceae,Potentilla,species,NE,,10.421625,63.44528,5,2022,Accepted,Valid,TRUE,Potentilla verna var. nana,"",b124e1e0-4755-430f-9eab-894f25a9b59c
Mesoptychia bantriensis,(Hook.) L. Söderstr. & Váňa,kildeflik,Marchantiophyta,Jungermanniales,Jungermanniaceae,Mesoptychia,species,NE,LC,10.4235,63.4454,1414,1888,Unchecked,"",FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Weissia controversa,Hedw.,tannkrusmose,Bryophyta,Pottiales,Pottiaceae,Weissia,species,NE,LC,10.4226,63.4447,1,2009,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Petrosedum rupestre,(L.) P.V.Heath,,Tracheophyta,Saxifragales,Crassulaceae,Petrosedum,species,NE,,10.422622,63.444774,10,2023,Accepted,Valid,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Ptychostomum pendulum,Hornsch.,ribbevrangmose,Bryophyta,Bryales,Bryaceae,Ptychostomum,species,NE,LC,10.4235,63.4454,1414,1890,Accepted,Valid,TRUE,Ptychostomum compactum,"",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Hepatica nobilis,Schreb.,blåveis,Tracheophyta,Ranunculales,Ranunculaceae,Hepatica,species,NE,LC,10.42111,63.445032,8,2023,Accepted,Valid,FALSE,"",smallest ID,50c9509d-22c7-4a22-a47d-8c48425ef4a7
Plantago lanceolata,L.,smalkjempe,Tracheophyta,Lamiales,Plantaginaceae,Plantago,species,NE,LC,10.422108,63.445358,3,2021,Accepted,Valid,FALSE,"","",50c9509d-22c7-4a22-a47d-8c48425ef4a7
Galium verum,L.,gulmaure,Tracheophyta,Gentianales,Rubiaceae,Galium,species,NE,LC,10.421208,63.445242,5,2023,Accepted,Valid,TRUE,Galium verum f. verum,smallest ID,8a863029-f435-446a-821e-275f4f641165
Lotus corniculatus,L.,tiriltunge,Tracheophyta,Fabales,Fabaceae,Lotus,species,NE,LC,10.420942,63.445461,100,2023,Accepted,Valid,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Knautia arvensis,(L.) Coult.,rødknapp,Tracheophyta,Dipsacales,Caprifoliaceae,Knautia,species,NE,LC,10.426153,63.444461,5,2020,Accepted,Valid,FALSE,"",smallest ID,b124e1e0-4755-430f-9eab-894f25a9b59c
Grimmia pulvinata,(Hedw.) Sm.,kvitknausing,Bryophyta,Grimmiales,Grimmiaceae,Grimmia,species,NE,LC,10.427276,63.444076,5,2023,Accepted,Valid,FALSE,"",Accepted,b124e1e0-4755-430f-9eab-894f25a9b59c
Anthyllis vulneraria,L.,rundbelg,Tracheophyta,Fabales,Fabaceae,Anthyllis,species,NE,LC,10.427356,63.444124,5,2020,Accepted,Valid,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Draba verna,L.,vårrublom,Tracheophyta,Brassicales,Brassicaceae,Draba,species,NE,LC,10.421858,63.445283,8,2023,Accepted,Valid,TRUE,Draba verna var. major,"",50c9509d-22c7-4a22-a47d-8c48425ef4a7
Clinopodium vulgare,L.,kransmynte,Tracheophyta,Lamiales,Lamiaceae,Clinopodium,species,NE,LC,10.427356,63.444124,5,2020,Accepted,Valid,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Vicia cracca,L.,fuglevikke,Tracheophyta,Fabales,Fabaceae,Vicia,species,LC,LC,10.427356,63.444124,5,2020,Accepted,Valid,TRUE,Vicia cracca f. cracca,smallest ID,b124e1e0-4755-430f-9eab-894f25a9b59c
Tortula subulata,Hedw.,skruetustmose,Bryophyta,Pottiales,Pottiaceae,Tortula,species,NE,LC,10.4226,63.4447,1,2009,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Viola mirabilis f. seiichii,E.Hama,krattfiol,Tracheophyta,Malpighiales,Violaceae,Viola,form,NE,LC,10.421993,63.445228,10,2015,Unchecked,"",FALSE,"",smallest ID,b124e1e0-4755-430f-9eab-894f25a9b59c
Encalypta brevicollis,(Bruch & Schimp.) Ångström,glattklokkemose,Bryophyta,Encalyptales,Encalyptaceae,Encalypta,species,NE,LC,10.4235,63.4454,1414,1888,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Ptychostomum inclinatum,(Sw. ex Brid.) J.R.Spence,svartsporevrangmose,Bryophyta,Bryales,Bryaceae,Ptychostomum,species,NE,LC,10.4216,63.4452,1,2009,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Ptychostomum pallescens,(Schleich. ex Schwägr.) J.R.Spence,filtvrangmose,Bryophyta,Bryales,Bryaceae,Ptychostomum,species,NE,LC,10.4235,63.4454,1414,1888,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Polygonatum odoratum,(Mill.) Druce,kantkonvall,Tracheophyta,Asparagales,Asparagaceae,Polygonatum,species,NE,LC,10.421715,63.445212,10,2020,Accepted,Valid,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Galium boreale,L.,hvitmaure,Tracheophyta,Gentianales,Rubiaceae,Galium,species,NE,LC,10.426207,63.444553,5,2020,Accepted,Valid,TRUE,Galium boreale var. nudum,smallest ID,b124e1e0-4755-430f-9eab-894f25a9b59c
Saxifraga tridactylites,L.,trefingersildre,Tracheophyta,Saxifragales,Saxifragaceae,Saxifraga,species,NE,EN,10.421931,63.44526,5,2022,Accepted,Valid,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Draba incana,L.,lodnerublom,Tracheophyta,Brassicales,Brassicaceae,Draba,species,NE,LC,10.42185,63.445276,25,2012,Accepted,Valid,TRUE,Draba incana f. tenuis,smallest ID,b124e1e0-4755-430f-9eab-894f25a9b59c
Hypericum perforatum,L.,prikkperikum,Tracheophyta,Malpighiales,Hypericaceae,Hypericum,species,NE,LC,10.421859,63.445236,23,2021,Accepted,Valid,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Schistidium maritimum,(Turner ex Robt.Scott) Bruch & Schimp.,saltblomstermose,Bryophyta,Grimmiales,Grimmiaceae,Schistidium,species,NE,LC,10.4235,63.4454,1414,1889,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Grimmia ovalis,(Hedw.) Lindb.,raggknausing,Bryophyta,Grimmiales,Grimmiaceae,Grimmia,species,NE,LC,10.4235,63.4454,1414,1890,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Rosa subcollina,(Christ) Dalla Torre & Sarnth.,lodden mellomnype,Tracheophyta,Rosales,Rosaceae,Rosa,species,NE,LC,10.4235,63.4454,1414,1938,Accepted,Valid,FALSE,"",Accepted,d29d79fd-2dc4-4ef5-89b8-cdf66994de0d
Mesoptychia collaris,(Nees) L. Söderstr. & Váňa,skyggeflik,Marchantiophyta,Jungermanniales,Jungermanniaceae,Mesoptychia,species,NE,LC,10.4235,63.4454,1414,1888,Unchecked,"",FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Hedlundia hybrida,(L.) Sennikov & Kurtto,rognasal,Tracheophyta,Rosales,Rosaceae,Hedlundia,species,NE,LC,10.421859,63.445236,23,2021,Accepted,Valid,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Isopterygiella pulchella,(Hedw.) Ignatov & Ignatova,,Bryophyta,Hypnales,"",Isopterygiella,species,NE,,10.4235,63.4454,1414,1971,Unchecked,"",FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Stegonia latifolia,(Schwägr.) Venturi ex Broth.,knollmose,Bryophyta,Pottiales,Pottiaceae,Stegonia,species,NE,NT,10.4235,63.4454,1414,1888,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Cratoneuron filicinum,(Hedw.) Spruce,kalkmose,Bryophyta,Hypnales,Amblystegiaceae,Cratoneuron,species,NE,LC,10.4262,63.4443,1,2009,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Allium oleraceum var. alpestre,Brügger,vill-løk,Tracheophyta,Asparagales,Amaryllidaceae,Allium,variety,NE,LC,10.422649,63.44469,5,2020,Unchecked,"",FALSE,"",smallest ID,b124e1e0-4755-430f-9eab-894f25a9b59c
Alchemilla glaucescens,Wallr.,fløyelsmarikåpe,Tracheophyta,Rosales,Rosaceae,Alchemilla,species,NE,LC,10.421715,63.445212,10,2020,Accepted,Valid,TRUE,Alchemilla glaucescens var. alpina,"",b124e1e0-4755-430f-9eab-894f25a9b59c
Tussilago farfara,L.,hestehov,Tracheophyta,Asterales,Asteraceae,Tussilago,species,NE,LC,10.421849,63.444854,8,2023,Accepted,Valid,FALSE,"","",50c9509d-22c7-4a22-a47d-8c48425ef4a7
Kindbergia praelonga,(Hedw.) Ochyra,sprikemoldmose,Bryophyta,Hypnales,Brachytheciaceae,Kindbergia,species,NE,LC,10.4235,63.4454,1414,1896,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Viola adunca,Sm.,engfiol,Tracheophyta,Malpighiales,Violaceae,Viola,species,NE,LC,10.421859,63.445236,23,2021,Accepted,Valid,TRUE,Viola canina var. adunca,"",b124e1e0-4755-430f-9eab-894f25a9b59c
Hypochaeris maculata,L.,flekkgrisøre,Tracheophyta,Asterales,Asteraceae,Hypochaeris,species,NE,NT,10.427356,63.444124,5,2020,Accepted,Valid,TRUE,Trommsdorffia maculata subsp. maculata,"",b124e1e0-4755-430f-9eab-894f25a9b59c
Sciuro-hypnum reflexum,(Starke) Ignatov & Huttunen,sprikelundmose,Bryophyta,Hypnales,Brachytheciaceae,Sciuro-hypnum,species,NE,LC,10.4235,63.4454,1414,1971,Accepted,Valid,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Hieracium bifidum  subsp. stenolepis,(Lindeb.) Zahn,,Tracheophyta,Asterales,Asteraceae,Hieracium,subspecies,NE,,10.4235,63.4454,1414,1938,Accepted,Valid,FALSE,"","",d29d79fd-2dc4-4ef5-89b8-cdf66994de0d
Potentilla argentea,L.,sølvmure,Tracheophyta,Rosales,Rosaceae,Potentilla,species,NE,LC,10.421653,63.445124,8,2021,Accepted,Valid,FALSE,"",Accepted,50c9509d-22c7-4a22-a47d-8c48425ef4a7
