validScientificName,scientificNameAuthorship,popularName,phylum,order,family,genus,taxonRank,iucnRedListCategory,riskCategory,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,year,taxonomicStatus,nomenclaturalStatus,New.accepted,Old.name,One.Reason,datasetKey,seedStructure,lifeCycleHabit,growthHabit,c,s,r,csr,priority,biodiversityRelevance,nectarProduction,heatRequirement,coldRequirement,tempOptimum,continentality,light,moisture,soilReaction,nitrogen,phosphorus,salinity,grazing.Mowing,soilDisturbance,longevity,pollinatorDependence,phenology,extremePhenology,seedDormancy,seedBank,seedDisperser,nitrogenFixation,photosyntheticPathway,mycorrhiza,carnivory,parasitism,siliceousRock,ultrabasicRock,calcareousRock,dryHeath,dryMeadow,steppicMeadow,sandSteppe,moistHeath,moistMeadow,moistCalcareousMeadow,raisedBog,poor.AcidicFen,intermediate.RichFen,rich.CalcareousFen,tallHerb.Sedge.ReedMeadow,oligotrophicWater.Shores,mesotrophicWater.Shores,eutrophicWater.Shores,sandy.Stony.RockySeaShores,seaShoreMeadows,base.PoorWasteland,base.RichWasteland,arableLand,gravellyGround,ruderal,hedgerows.Thickets.Wood.MarginsandGroves,heath.TypeDeciduousForest,intermediateDeciduousForest,herb.RichDeciduousForest,alnusGlutinosaSwamp,fraxinus.Ulmus.AlnusIncanaSwamp,pinus.BetulaSwamp,piceaSwamp,heath.TypeConiferousForest,vaccinium.TypeConiferousForest,herb.RichConiferousForest,cacareousConiferForest,subalpineBetulaForest,aesthetics / sense of place,"kowledge and information - cultural relations (local history, stories etc.)",Other Information,Link,biologicalPriority,environmentalPriority,socialPriority,priorityLevel
Festuca ovina,L.,sauesvingel,Tracheophyta,Poales,Poaceae,Festuca,species,NE,LC,10.423522,63.445355,1000,1990,,,FALSE,,no match found,f06ed729-104f-4e51-9db3-dfd9b228a1be,Monocot,perennial,graminoid,1.91,73.32,24.77,S/SR,1,6,1,1,3,10,5,5,2,5,3,1,1,5,2,4,0b,8,1,2,2,Passive,0,C3,AM,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Orange,Unavailable,"Food plants for the caterpillars of several butterflies and moths, including the gatekeeper and the meadow brown, the small heath, and the grass moth Agriphila inquinatella.",https://en.wikipedia.org/wiki/Festuca_ovina,1,16,1,2
Antennaria dioica,(L.) Gaertn.,kattefot,Tracheophyta,Asterales,Asteraceae,Antennaria,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,,,f06ed729-104f-4e51-9db3-dfd9b228a1be,Dicot,perennial,shrub,1.78,79.14,19.09,S/SR,1,3,4,2,4,10,5,6,3,6,1,2,1,7,4,4,2,5,4,,1,Passive,0,C3,AM,0,0,0,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,Red-withe ish inflorecense in Cat's foot shape,"In old folk medicine, cat's foot was widely used, especially for rashes and skin diseases. It was also given to cows that ""have lost the herb"" (Synnylven).",Unavailable,https://www.artsdatabanken.no/Pages/168437/Kattefot,1,18,1,2
Pilosella officinarum,Vaill.,hårsveve,Tracheophyta,Asterales,Asteraceae,Pilosella,species,NE,NE,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,,Not a synonym,f06ed729-104f-4e51-9db3-dfd9b228a1be,Dicot,perennial,forb,9.11,21.25,69.64,R/SR,1,1,3,5,3,8,5,7,1,7,2,2,1,6,2,4,1,7,2,,2,AirP,0,C3,AM,0,0,0,1,2,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yellow dandelion-looking flower,"The genus name Hieracium comes from the Greek word Hierax , which means sparrow hawk, and is based on the belief that hawks improved their vision with the help of the milky juice from the plant. Based on this old notion, herbalists in earlier times used the herb for eye problems, but this use is no longer current.","Astringent, used for respiratory problems",https://www.rolv.no/urtemedisin/medisinplanter/pilo_off.htm,1,17,1,2
Berberis lycium,Royle,berberis,Tracheophyta,Ranunculales,Berberidaceae,Berberis,species,NE,LC,10.421859,63.445236,23,2021,Accepted,Valid,TRUE,Berberis vulgaris f. lycium,smallest ID,b124e1e0-4755-430f-9eab-894f25a9b59c,,perennial,shrub,,,,,,4,5,10,3,5,5,5,3,7,3,1,1,4,2,4,1,6,3,3,1,Bird,0,C3,AM,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,Yellow flowers,Unavailable,,,1,18,0,3
Draba verna,L.,vårrublom,Tracheophyta,Brassicales,Brassicaceae,Draba,species,NE,LC,10.421858,63.445283,8,2023,Accepted,Valid,TRUE,Draba verna var. major,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Dicot,annual,forb,4.8,0,95.2,R,1,3,2,10,3,5,5,5,5,6,6,4,1,5,8,1,0c,4,5,2,2,Passive,0,C3,None,0,0,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,little white-yellow flowers,Unavailable,,https://snl.no/v%C3%A5rrublom,1,23,0,2
Draba incana,L.,lodnerublom,Tracheophyta,Brassicales,Brassicaceae,Draba,species,NE,LC,10.42185,63.445276,25,2012,Accepted,Valid,TRUE,Draba incana f. tenuis,smallest ID,b124e1e0-4755-430f-9eab-894f25a9b59c,Dicot,perennial,forb,,,,SC*,,2,3,3,7,12,5,7,3,7,2,3,1,3,6,4,,,,1,4,Passive,0,C3,None,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,small white infloresence,Unavailable,,https://snl.no/lodnerublom,1,16,0,3
Arabis hirsuta,(L.) Scop.,bergskrinneblom,Tracheophyta,Brassicales,Brassicaceae,Arabis,species,NE,LC,10.422649,63.44469,5,2020,Accepted,Valid,FALSE,,Not a synonym,b124e1e0-4755-430f-9eab-894f25a9b59c,Dicot,perennial,forb,4.14,0,95.86,R,1,3,3,4,2,7,3,5,2,6,4,3,1,4,6,4,1,6,3,,2,Passive,0,C3,None,0,0,0,1,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,small white infloresence,Unavailable,,https://snl.no/bergskrinneblom,1,17,0,3
Arabidopsis thaliana,(L.) Heynh.,Vårskrinneblom,Tracheophyta,Brassicales,Brassicaceae,Arabidopsis,species,NE,LC,10.421859,63.445236,23,2021,Accepted,Valid,FALSE,,,b124e1e0-4755-430f-9eab-894f25a9b59c,Dicot,annual,forb,4.27,0,95.73,R,1,3,2,5,2,7,4,7,2,5,3,4,2,4,8,1,0c,5,4,2,3,Passive,0,C3,None,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,small white infloresence,Unavailable,"Widely used in science, mainly genetics",,1,16,1,2
Campanula rotundifolia,L.,blåklokke,Tracheophyta,Asterales,Campanulaceae,Campanula,species,NE,LC,10.426153,63.444461,5,2020,Accepted,Valid,FALSE,,,b124e1e0-4755-430f-9eab-894f25a9b59c,Dicot,perennial,forb,7.37,23.6,69.03,R/SR,1,4,4,2,4,10,5,6,3,5,4,2,2,5,3,4,2a,8,1,2,3,Passive,0,C3,AM,0,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,small pruple-blueish flowers,"""blåklokke"" is a beautiful plant that everyone, both children and adults, knows. In the past, blåklokke had a special appeal to children, because the flowers could be used for many kinds of toys. All over Norway it was a common game of skill to try to turn the flower without it breaking. On rare occasions it was said that one also had to be able to turn it back. As usual with such games, it was almost always said that if it was successful, one or more wishes would be granted. It was also quite common for children to use the flower to slap. The little girls used the flowers as thimbles, or you could put them in your mouth and blow them out.",,https://www.rolv.no/urtemedisin/medisinplanter/camp_rot.htm,1,19,1,2
Sagina nodosa,(L.) Fenzl,knopparve,Tracheophyta,Caryophyllales,Caryophyllaceae,Sagina,species,NE,LC,10.42185,63.445276,25,2012,Accepted,Valid,FALSE,,Not a synonym,b124e1e0-4755-430f-9eab-894f25a9b59c,Dicot,perennial,forb,0.59,62.27,37.14,S/SR,1,1,1,4,5,10,4,7,6,7,2,2,3,6,7,3,0c,10,3,,4,Passive,0,C3,None,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,little white-yellow flowers,Unavailable,Unavailable,,1,24,0,2
