validScientificName,scientificNameAuthorship,popularName,phylum,order,family,genus,taxonRank,iucnRedListCategory,riskCategory,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,year,taxonomicStatus,nomenclaturalStatus,New.accepted,Old.name,One.Reason,datasetKey,seedStructure,lifeCycleHabit,growthHabit,c,s,r,csr,moisture,soilReaction,nitrogen,salinity,grazing.Mowing,calcareousRock,moistMeadow,moistCalcareousMeadow,aesthetics / sense of place,"kowledge and information - cultural relations (local history, stories etc.)",Other Information,Link,biologicalPriority,environmentalPriority,socialPriority,priorityLevel
Festuca ovina,L.,sauesvingel,Tracheophyta,Poales,Poaceae,Festuca,species,NE,LC,10.423522,63.445355,1000,1990,"","",FALSE,"",no match found,f06ed729-104f-4e51-9db3-dfd9b228a1be,Monocot,perennial,graminoid,1.91,73.32,24.77,S/SR,2,5,3,1,5,1,0,0,Orange,Unavailable,"Food plants for the caterpillars of several butterflies and moths, including the gatekeeper and the meadow brown, the small heath, and the grass moth Agriphila inquinatella.",https://en.wikipedia.org/wiki/Festuca_ovina,1,16,1,2
Antennaria dioica,(L.) Gaertn.,kattefot,Tracheophyta,Asterales,Asteraceae,Antennaria,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be,Dicot,perennial,shrub,1.78,79.14,19.09,S/SR,3,6,1,1,7,2,0,0,Red-withe ish inflorecense in Cat's foot shape,"In old folk medicine, cat's foot was widely used, especially for rashes and skin diseases. It was also given to cows that """"have lost the herb"""" (Synnylven).",Unavailable,https://www.artsdatabanken.no/Pages/168437/Kattefot,1,18,1,2
Pilosella officinarum,Vaill.,hårsveve,Tracheophyta,Asterales,Asteraceae,Pilosella,species,NE,NE,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,"",Not a synonym,f06ed729-104f-4e51-9db3-dfd9b228a1be,Dicot,perennial,forb,9.11,21.25,69.64,R/SR,1,7,2,1,6,2,0,0,Yellow dandelion-looking flower,"The genus name Hieracium comes from the Greek word Hierax , which means sparrow hawk, and is based on the belief that hawks improved their vision with the help of the milky juice from the plant. Based on this old notion, herbalists in earlier times used the herb for eye problems, but this use is no longer current.","Astringent, used for respiratory problems",https://www.rolv.no/urtemedisin/medisinplanter/pilo_off.htm,1,17,1,2
Draba verna,L.,vårrublom,Tracheophyta,Brassicales,Brassicaceae,Draba,species,NE,LC,10.421858,63.445283,8,2023,Accepted,Valid,TRUE,Draba verna var. major,"",50c9509d-22c7-4a22-a47d-8c48425ef4a7,Dicot,annual,forb,4.8,0,95.2,R,5,6,6,1,5,1,0,0,little white-yellow flowers,Unavailable,"",https://snl.no/v%C3%A5rrublom,1,23,0,2
Arabidopsis thaliana,(L.) Heynh.,Vårskrinneblom,Tracheophyta,Brassicales,Brassicaceae,Arabidopsis,species,NE,LC,10.421859,63.445236,23,2021,Accepted,Valid,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c,Dicot,annual,forb,4.27,0,95.73,R,2,5,3,2,4,2,0,0,small white infloresence,Unavailable,"Widely used in science, mainly genetics","",1,16,1,2
Campanula rotundifolia,L.,blåklokke,Tracheophyta,Asterales,Campanulaceae,Campanula,species,NE,LC,10.426153,63.444461,5,2020,Accepted,Valid,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c,Dicot,perennial,forb,7.37,23.6,69.03,R/SR,3,5,4,2,5,1,0,0,small pruple-blueish flowers,"""""blåklokke"""" is a beautiful plant that everyone, both children and adults, knows. In the past, blåklokke had a special appeal to children, because the flowers could be used for many kinds of toys. All over Norway it was a common game of skill to try to turn the flower without it breaking. On rare occasions it was said that one also had to be able to turn it back. As usual with such games, it was almost always said that if it was successful, one or more wishes would be granted. It was also quite common for children to use the flower to slap. The little girls used the flowers as thimbles, or you could put them in your mouth and blow them out.","",https://www.rolv.no/urtemedisin/medisinplanter/camp_rot.htm,1,19,1,2
Sagina nodosa,(L.) Fenzl,knopparve,Tracheophyta,Caryophyllales,Caryophyllaceae,Sagina,species,NE,LC,10.42185,63.445276,25,2012,Accepted,Valid,FALSE,"",Not a synonym,b124e1e0-4755-430f-9eab-894f25a9b59c,Dicot,perennial,forb,0.59,62.27,37.14,S/SR,6,7,2,3,6,2,0,3,little white-yellow flowers,Unavailable,Unavailable,"",1,24,0,2
Sedum acre  subsp. majus,(Masters) R.T.Clausen,bitterbergknapp,Tracheophyta,Saxifragales,Crassulaceae,Sedum,subspecies,NE,LC,10.427078,63.444116,10,2012,Accepted,Valid,TRUE,Sedum acre var. majus,"",b124e1e0-4755-430f-9eab-894f25a9b59c,"","","",,,,"",1,6,4,2,5,2,0,0,"Golden yellow, five-numbered, star-shaped flowers are formed in tassel-shaped inflorescences",Unavailable,"The plant has been used in signature medicine , and because of its bitter taste, it has been used against open wounds, warts and pimples . It’s also known as bird’s-eye pearlwort2.",https://no.wikipedia.org/wiki/Bitterbergknapp,1,18,1,2
Juniperus communis,L.,einer,Tracheophyta,Pinales,Cupressaceae,Juniperus,species,LC,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,"",Not a synonym,f06ed729-104f-4e51-9db3-dfd9b228a1be,Gymnosperm,perennial,shrub,0,86.61,13.39,S,4,4,2,2,5,1,1,0,Tree,Unavailable,"An evergreen conifer, it has the largest geographical range of any woody plant, with a circumpolar distribution throughout the cool temperate Northern Hemisphere3. Male plants have tiny, yellow cones that shed wind-dispersed pollen. Female plants have berry-like, fleshy seed cones that become purple-black, with a waxy bloom, on maturity4.",https://www.rolv.no/urtemedisin/medisinplanter/juni_com.htm,1,17,1,2
Lotus corniculatus,L.,tiriltunge,Tracheophyta,Fabales,Fabaceae,Lotus,species,NE,LC,10.420942,63.445461,100,2023,Accepted,Valid,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c,Dicot,perennial,forb,14.21,18.98,66.81,R/SR,3,5,3,2,6,1,1,0,The inflorescence contains 3-7 flowers with a yellow crown that is often red-striped and occasionally fire-red on the outside,"Despite its cheerful appearance, the bird’s-foot trefoil symbolizes a warning of revenge in the Victorian language of flowers9.7. The scientific genus name Lotus is an old name for beautiful and useful plants, and is first mentioned by Homer ca. year 800 BC Corniculatus means """"with small horns"""", and comes from the fact that the empty, cracked pods resemble small antelope horns.

It is uncertain how the Norwegian name tiril tongue may have arisen, but it could possibly be a comparison between the inflorescence, or preferably the fruit stand, and a tiril (or turul ), the kernel stick that was formerly used in the upright, cylindrical butter kernels. Tongue refers to the tongue-shaped fan in each individual flower.","In folk medicine in Norway, the plant has been used to a small extent. To the extent that it was used, it was either in the form of a spirit extract of the flowers, or dried leaves and pods were used as tea, which was supposed to be good stomach medicine. The root of tiril tongue has been used as a blood purifier.",https://www.rolv.no/urtemedisin/medisinplanter/lotu_cor.htm,1,19,1,2
