validScientificName,popularName,priorityLevel
Festuca ovina,sauesvingel,2
Antennaria dioica,kattefot,2
Pilosella officinarum,hårsveve,2
Draba verna,vårrublom,2
Arabidopsis thaliana,Vårskrinneblom,2
Campanula rotundifolia,blåklokke,2
Sagina nodosa,knopparve,2
Sedum acre  subsp. majus,bitterbergknapp,2
Juniperus communis,einer,2
Lotus corniculatus,tiriltunge,2
Anthyllis vulneraria,rundbelg,2
Ribes alpinum var. pilosum,alperips,2
Hypericum perforatum,prikkperikum,2
Hypericum maculatum,firkantperikum,2
Juncus bufonius,paddesiv,2
Clinopodium acinos,"bakkemynte, kransmynte",2
Gagea lutea,gullstjerne,2
Linum catharticum,vill-lin,2
Euphrasia stricta,kjerteløyentrøst,2
Rhinanthus minor subsp. minor,slåttekall,2
Veronica serpyllifolia,bleikveronika,2
Plantago maritima  subsp. ciliata,strandkjempe,2
Nardus stricta var. minor,finnskjegg,2
Anthoxanthum odoratum,gulaks,2
Deschampsia cespitosa,kvassbunke,2
Hedlundia hybrida,rognasal,2
Rosa mollis f. atona,bustnype,2
Potentilla crantzii,flekkmure,2
Aria edulis,sølvasal,2
Aria rupicola,bergasal,2
Galium verum,gulmaure,2
