validScientificName,family,order,superOrder,seedStructure,lifeCycleHabit,growthHabit,c,s,r,csr,priority
Abarema cochliocarpos (Gomes) Barneby & J.W. Grimes,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,22.83,61.39,15.78,S/CSR,7
Abarema macradenia (Pittier) Barneby & J.W. Grimes,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,54.76,45.24,0,CS,7
Abuta racemosa (Thunb.) Triana & Planch.,Menispermaceae,Ranunculales,Ranunculanae,Dicot,perennial,liana,29.59,63.12,7.28,S/CS,7
Abutilon theophrasti Medik.,Malvaceae,Malvales,Rosanae,Dicot,annual,forb,66.59,14.07,19.34,C/CR,9
Acalypha diversifolia Jacq.,Euphorbiaceae,Malpighiales,Rosanae,Dicot,perennial,shrub,43.52,35.93,20.55,CS/CSR,7
Acalypha macrostachya Jacq.,Euphorbiaceae,Malpighiales,Rosanae,Dicot,perennial,shrub,67.91,11.3,20.79,C/CR,7
Acalypha virginica L.,Euphorbiaceae,Malpighiales,Rosanae,Dicot,annual,forb,28.02,30.08,41.9,CSR,2
Acer campestre L.,Sapindaceae,Sapindales,Rosanae,Dicot,perennial,tree,42.29,29.41,28.3,CSR,1
Acer monspessulanum L.,Sapindaceae,Sapindales,Rosanae,Dicot,perennial,tree,23.49,68.83,7.69,S/CS,1
Acer negundo L.,Sapindaceae,Sapindales,Rosanae,Dicot,perennial,tree,50.38,23.31,26.31,C/CSR,2
Acer opalus Mill.,Sapindaceae,Sapindales,Rosanae,Dicot,perennial,tree,47.55,25.57,26.88,C/CSR,1
Acer platanoides L.,Sapindaceae,Sapindales,Rosanae,Dicot,perennial,tree,48.76,35.31,15.93,CS/CSR,1
Acer pseudoplatanus L.,Sapindaceae,Sapindales,Rosanae,Dicot,perennial,tree,37.51,54.93,7.55,CS,1
Acer saccharum Marshall,Sapindaceae,Sapindales,Rosanae,Dicot,perennial,tree,27.13,56.44,16.43,S/CSR,4
Aceras anthropophorum (L.) W.T. Aiton,Orchidaceae,Asparagales,Lilianae,Monocot,perennial,forb,41.33,0,58.67,CR,1
Achillea atrata L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,10.13,25.27,64.6,R/SR,1
Achillea cartilaginea Ledeb.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,23.48,26.19,50.33,R/CSR,1
Achillea clavenae L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,48.55,0,51.45,CR,1
Achillea collina (Becker ex Rchb. f.) Heimerl,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,41.02,15.79,43.19,CR/CSR,1
Achillea macrophylla L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,64.71,0,35.29,C/CR,1
Achillea millefolium L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,22.02,58.81,19.18,S/CSR,1
Achillea moschata Wulfen,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,5.8,58.94,35.26,SR,1
Achillea pannonica Scheele,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,23.79,76.21,0,S/CS,1
