validScientificName,scientificNameAuthorship,phylum,order,family,genus,taxonRank,iucnRedListCategory,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,year,nomenclaturalStatus,taxonomicStatus,New.accepted,Old.name,One.Reason,datasetKey
Rosa dumalis,Tratt. ex Link,Tracheophyta,Rosales,Rosaceae,Rosa,species,NE,10.423522,63.445355,1000,1990,"",Unchecked,FALSE,"",smallest ID,f06ed729-104f-4e51-9db3-dfd9b228a1be
Potentilla brauniana,Hoppe ex Nestl.,Tracheophyta,Rosales,Rosaceae,Potentilla,species,NE,10.421625,63.44528,5,2022,Valid,Accepted,TRUE,Potentilla verna var. nana,"",b124e1e0-4755-430f-9eab-894f25a9b59c
Mesoptychia bantriensis,(Hook.) L. Söderstr. & Váňa,Marchantiophyta,Jungermanniales,Jungermanniaceae,Mesoptychia,species,NE,10.4235,63.4454,1414,1888,"",Unchecked,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Echium vulgare,L.,Tracheophyta,Boraginales,Boraginaceae,Echium,species,NE,10.427276,63.444076,5,2023,Valid,Accepted,TRUE,Echium vulgare f. vulgare,"",b124e1e0-4755-430f-9eab-894f25a9b59c
Weissia controversa,Hedw.,Bryophyta,Pottiales,Pottiaceae,Weissia,species,NE,10.4226,63.4447,1,2009,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Petrosedum rupestre,(L.) P.V.Heath,Tracheophyta,Saxifragales,Crassulaceae,Petrosedum,species,NE,10.422622,63.444774,10,2023,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Ptychostomum pendulum,Hornsch.,Bryophyta,Bryales,Bryaceae,Ptychostomum,species,NE,10.4235,63.4454,1414,1890,Valid,Accepted,TRUE,Ptychostomum compactum,"",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Cotoneaster acutifolius,Turcz.,Tracheophyta,Rosales,Rosaceae,Cotoneaster,species,NE,10.427267,63.444047,5,2012,Valid,Accepted,FALSE,"",Not a synonym,b124e1e0-4755-430f-9eab-894f25a9b59c
Hepatica nobilis,Schreb.,Tracheophyta,Ranunculales,Ranunculaceae,Hepatica,species,NE,10.42111,63.445032,8,2023,Valid,Accepted,FALSE,"",smallest ID,50c9509d-22c7-4a22-a47d-8c48425ef4a7
Plantago lanceolata,L.,Tracheophyta,Lamiales,Plantaginaceae,Plantago,species,NE,10.422108,63.445358,3,2021,Valid,Accepted,FALSE,"","",50c9509d-22c7-4a22-a47d-8c48425ef4a7
Galium verum,L.,Tracheophyta,Gentianales,Rubiaceae,Galium,species,NE,10.421208,63.445242,5,2023,Valid,Accepted,TRUE,Galium verum f. verum,smallest ID,8a863029-f435-446a-821e-275f4f641165
Melilotus albus,Medik.,Tracheophyta,Fabales,Fabaceae,Melilotus,species,NE,10.425461,63.444108,25,2023,Valid,Accepted,FALSE,"",Not a synonym,b124e1e0-4755-430f-9eab-894f25a9b59c
Lotus corniculatus,L.,Tracheophyta,Fabales,Fabaceae,Lotus,species,NE,10.420942,63.445461,100,2023,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Knautia arvensis,(L.) Coult.,Tracheophyta,Dipsacales,Caprifoliaceae,Knautia,species,NE,10.426153,63.444461,5,2020,Valid,Accepted,FALSE,"",smallest ID,b124e1e0-4755-430f-9eab-894f25a9b59c
Grimmia pulvinata,(Hedw.) Sm.,Bryophyta,Grimmiales,Grimmiaceae,Grimmia,species,NE,10.427276,63.444076,5,2023,Valid,Accepted,FALSE,"",Accepted,b124e1e0-4755-430f-9eab-894f25a9b59c
Anthyllis vulneraria,L.,Tracheophyta,Fabales,Fabaceae,Anthyllis,species,NE,10.427356,63.444124,5,2020,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Draba verna,L.,Tracheophyta,Brassicales,Brassicaceae,Draba,species,NE,10.421858,63.445283,8,2023,Valid,Accepted,TRUE,Draba verna var. major,"",50c9509d-22c7-4a22-a47d-8c48425ef4a7
Clinopodium vulgare,L.,Tracheophyta,Lamiales,Lamiaceae,Clinopodium,species,NE,10.427356,63.444124,5,2020,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Vicia cracca,L.,Tracheophyta,Fabales,Fabaceae,Vicia,species,LC,10.427356,63.444124,5,2020,Valid,Accepted,TRUE,Vicia cracca f. cracca,smallest ID,b124e1e0-4755-430f-9eab-894f25a9b59c
Cotoneaster bullatus,Bois,Tracheophyta,Rosales,Rosaceae,Cotoneaster,species,NE,10.421859,63.445236,23,2021,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Tortula subulata,Hedw.,Bryophyta,Pottiales,Pottiaceae,Tortula,species,NE,10.4226,63.4447,1,2009,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Viola mirabilis f. seiichii,E.Hama,Tracheophyta,Malpighiales,Violaceae,Viola,form,NE,10.421993,63.445228,10,2015,"",Unchecked,FALSE,"",smallest ID,b124e1e0-4755-430f-9eab-894f25a9b59c
Encalypta brevicollis,(Bruch & Schimp.) Ångström,Bryophyta,Encalyptales,Encalyptaceae,Encalypta,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Ptychostomum inclinatum,(Sw. ex Brid.) J.R.Spence,Bryophyta,Bryales,Bryaceae,Ptychostomum,species,NE,10.4216,63.4452,1,2009,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Ptychostomum pallescens,(Schleich. ex Schwägr.) J.R.Spence,Bryophyta,Bryales,Bryaceae,Ptychostomum,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Polygonatum odoratum,(Mill.) Druce,Tracheophyta,Asparagales,Asparagaceae,Polygonatum,species,NE,10.421715,63.445212,10,2020,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Galium boreale,L.,Tracheophyta,Gentianales,Rubiaceae,Galium,species,NE,10.426207,63.444553,5,2020,Valid,Accepted,TRUE,Galium boreale var. nudum,smallest ID,b124e1e0-4755-430f-9eab-894f25a9b59c
