validScientificName,family.ORIG,biodiversityRelevance,nectarProduction,heatRequirement,coldRequirement,tempOptimum,continentality,light,moisture,soilReaction,nitrogen,phosphorus,salinity,grazing.Mowing,soilDisturbance,longevity,pollinatorDependence,phenology,extremePhenology,seedDormancy,seedBank,seedDisperser,nitrogenFixation,photosyntheticPathway,mycorrhiza,carnivory,parasitism,siliceousRock,ultrabasicRock,calcareousRock,dryHeath,dryMeadow,steppicMeadow,sandSteppe,moistHeath,moistMeadow,moistCalcareousMeadow,raisedBog,poor.AcidicFen,intermediate.RichFen,rich.CalcareousFen,tallHerb.Sedge.ReedMeadow,oligotrophicWater.Shores,mesotrophicWater.Shores,eutrophicWater.Shores,sandy.Stony.RockySeaShores,seaShoreMeadows,base.PoorWasteland,base.RichWasteland,arableLand,gravellyGround,ruderal,hedgerows.Thickets.Wood.MarginsandGroves,heath.TypeDeciduousForest,intermediateDeciduousForest,herb.RichDeciduousForest,alnusGlutinosaSwamp,fraxinus.Ulmus.AlnusIncanaSwamp,pinus.BetulaSwamp,piceaSwamp,heath.TypeConiferousForest,vaccinium.TypeConiferousForest,herb.RichConiferousForest,cacareousConiferForest,subalpineBetulaForest,validScientificName.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.toomany,Fuzzy.two,Fuzzy.one,Fuzzy.dist,OriSeq,Subseq,taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,references,source,majorGroup,tplID,Hybrid,New.accepted,Old.status,Old.ID,Old.name
Abies alba Mill.,Pinaceae,5,1,10,3,5,3,2,5,5,5,3,1,1,1,4,0b,,,4,,AirW,0,C3,EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,0,0,Abies alba Mill.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,6,1,1,wfo-0000510976,urn:lsid:ipni.org:names:60468511-2,381621,Abies alba,species,wfo-4000000038,Mill.,Pinaceae,"","",,Abies,"",alba,"",species,Valid,Gard. Dict. ed. 7 : n.º 1 (1756),Accepted,"",wfo-0000481906,,"Source in seed data: wcs Updated majorGroup from A to G, information provided by Alan E. on email Nov. 08 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2609691 >The Plant List v.1.1.</a> Originally in <a href=h",http://www.theplantlist.org/tpl1.1/record/kew-2609691,The Conifer Taxonomic Expert Network,G,kew-2609691,"",FALSE,"","",""
Abies alba Mill.,Pinaceae,5,1,10,3,5,3,2,5,5,5,3,1,1,1,4,0b,,,4,,AirW,0,C3,EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,0,0,Abies alba Mill.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,6,1,2,wfo-0000482539,urn:lsid:ipni.org:names:195874-2,380651,Picea glauca,species,wfo-4000029600,(Moench) Voss,Pinaceae,"","",,Picea,"",glauca,"",species,Valid,Mitt. Deutsch. Dendrol. Ges. 16: 93 (1907),Accepted,"",wfo-0000481470,,"Source in seed data: wcs Updated majorGroup from A to G, information provided by Alan E. on email Nov. 08 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2563473 >The Plant List v.1.1.</a> Originally in <a href=h",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:195874-2,The Conifer Taxonomic Expert Network,G,kew-2563473,"",TRUE,Synonym,wfo-0000510977,Abies alba
Abies grandis,Pinaceae,5,1,10,4,6,4,3,,,5,3,1,1,1,4,0b,,,4,,AirW,0,C3,EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0,Abies grandis (Douglas ex D. Don) Lindl.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,2,1,wfo-0000511178,urn:lsid:ipni.org:names:1033427-2,381804,Abies grandis,species,wfo-4000000038,(Douglas ex D.Don) Lindl.,Pinaceae,"","",,Abies,"",grandis,"",species,Valid,Penny Cyclop. 1: 30 (1833),Accepted,"",wfo-0000481382,,"Source in seed data: wcs Updated majorGroup from A to G, information provided by Alan E. on email Nov. 08 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2609877 >The Plant List v.1.1.</a> Originally in <a href=h",http://www.theplantlist.org/tpl1.1/record/kew-2609877,The Conifer Taxonomic Expert Network,G,kew-2609877,"",FALSE,"","",""
Abies grandis,Pinaceae,5,1,10,4,6,4,3,,,5,3,1,1,1,4,0b,,,4,,AirW,0,C3,EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0,Abies grandis (Douglas ex D. Don) Lindl.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,2,2,wfo-0000510989,urn:lsid:ipni.org:names:325658-2,381632,Abies amabilis,species,wfo-4000000038,Douglas ex J.Forbes,Pinaceae,"","",,Abies,"",amabilis,"",species,Valid,Pinet. Woburn. : 125 (1839),Accepted,"",wfo-0000482032,,"Source in seed data: wcs Updated majorGroup from A to G, information provided by Alan E. on email Nov. 08 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2609703 >The Plant List v.1.1.</a> Originally in <a href=h",http://www.theplantlist.org/tpl1.1/record/kew-2609703,The Conifer Taxonomic Expert Network,G,kew-2609703,"",TRUE,Synonym,wfo-0000735864,Abies grandis
Acer campestre L.,Sapindaceae,6,6,13,2,3,5,4,4,6,6,3,1,2,5,4,0c,6,3,4,1,AirW,0,C3,AM/EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,Acer campestre L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,7,3,1,wfo-0000514040,urn:lsid:ipni.org:names:781250-1,747851,Acer campestre,species,wfo-4000000188,L.,Sapindaceae,Hippocastanoideae,"",,Acer,"",campestre,"",species,Valid,Sp. Pl. : 1055 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 1055 1753  to Sp. Pl. : 1055 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2615447 >The Plan",http://www.theplantlist.org/tpl1.1/record/kew-2615447,The Sapindaceae Taxonomic Expert Network,A,kew-2615447,"",TRUE,Synonym,wfo-0000734984,Acer campestre f. molle
Acer campestre L.,Sapindaceae,6,6,13,2,3,5,4,4,6,6,3,1,2,5,4,0c,6,3,4,1,AirW,0,C3,AM/EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,Acer campestre L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,7,3,2,wfo-0000514040,urn:lsid:ipni.org:names:781250-1,747851,Acer campestre,species,wfo-4000000188,L.,Sapindaceae,Hippocastanoideae,"",,Acer,"",campestre,"",species,Valid,Sp. Pl. : 1055 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 1055 1753  to Sp. Pl. : 1055 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2615447 >The Plan",http://www.theplantlist.org/tpl1.1/record/kew-2615447,The Sapindaceae Taxonomic Expert Network,A,kew-2615447,"",TRUE,Synonym,wfo-0000734993,Acer campestre f. bedoi
Acer negundo L.,Sapindaceae,2,,10,3,5,7,,,,,3,1,2,,4,0b,,,4,,AirW,0,C3,AM/EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,Acer negundo L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,7,4,1,wfo-0000514643,urn:lsid:ipni.org:names:781412-1,748414,Acer negundo,species,wfo-4000000188,L.,Sapindaceae,Hippocastanoideae,"",,Acer,"",negundo,"",species,Valid,Sp. Pl. : 1056 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 1056 1753  to Sp. Pl. : 1056 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2616024 >The Plan",http://www.theplantlist.org/tpl1.1/record/kew-2616024,The Sapindaceae Taxonomic Expert Network,A,kew-2616024,"",TRUE,Synonym,wfo-0000734247,Acer negundo f. nanum
Acer platanoides L.,Sapindaceae,5,6,9,4,7,5,4,4,6,5,3,1,2,5,4,2,5,4,4,1,AirW,0,C3,AM/EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,1,1,0,Acer platanoides L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,7,5,1,wfo-0000514884,urn:lsid:ipni.org:names:781455-1,748642,Acer platanoides,species,wfo-4000000188,L.,Sapindaceae,Hippocastanoideae,"",,Acer,"",platanoides,"",species,Valid,Sp. Pl. : 1055 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 1055 1753  to Sp. Pl. : 1055 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2616254 >The Plan",http://www.theplantlist.org/tpl1.1/record/kew-2616254,The Sapindaceae Taxonomic Expert Network,A,kew-2616254,"",TRUE,Synonym,wfo-0000735102,Acer platanoides f. nanum
Acer pseudoplatanus L.,Sapindaceae,6,5,12,3,4,3,4,5,6,7,3,1,3,3,4,0c,6,3,4,1,AirW,0,C3,AM/EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,1,0,0,Acer pseudoplatanus L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,6,1,wfo-0000514908,urn:lsid:ipni.org:names:781462-1,748664,Acer pseudoplatanus,species,wfo-4000000188,L.,Sapindaceae,Hippocastanoideae,"",,Acer,"",pseudoplatanus,"",species,Valid,Sp. Pl. : 1054 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 1054 1753  to Sp. Pl. : 1054 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2616276 >The Plan",http://www.theplantlist.org/tpl1.1/record/kew-2616276,The Sapindaceae Taxonomic Expert Network,A,kew-2616276,"",FALSE,"","",""
Acer tataricum L.,Sapindaceae,3,5,10,4,6,5,,,,6,3,1,2,,4,2,,,2,,AirW,0,C3,AM/EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,Acer tataricum L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,7,7,1,wfo-0000515176,urn:lsid:ipni.org:names:781526-1,748910,Acer tataricum,species,wfo-4000000188,L.,Sapindaceae,Hippocastanoideae,"",,Acer,"",tataricum,"",species,Valid,Sp. Pl. : 1054 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 1054 1753  to Sp. Pl. : 1054 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2616524 >The Plan",http://www.theplantlist.org/tpl1.1/record/kew-2616524,The Sapindaceae Taxonomic Expert Network,A,kew-2616524,"",TRUE,Synonym,wfo-0000734288,Acer tataricum f. nanum
