validScientificName,kingdom,phylum,order,family.ORIG,genus.ORIG,species,taxonRank.ORIG,iucnRedListCategory,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,year,datasetKey,validScientificName.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.toomany,Fuzzy.two,Fuzzy.one,Fuzzy.dist,OriSeq,Subseq,taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,references,source,majorGroup,tplID,Hybrid,New.accepted,Old.status,Old.ID,Old.name
Rosa dumalis Bechst.,Plantae,Tracheophyta,Rosales,Rosaceae,Rosa,Rosa dumalis,SPECIES,NE,10.423522,63.445355,1000,1990,f06ed729-104f-4e51-9db3-dfd9b228a1be,Rosa dumalis Bechst.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,8,1,1,wfo-0001002198,urn:lsid:ipni.org:names:732358-1,32605,Rosa dumalis,species,"",Tratt. ex Link,Rosaceae,"","",,Rosa,"",dumalis,"",species,"",Handbuch [Link] 2: 94. 1831,Unchecked,"","",,"Source in seed data: rjp Updated namePublishedIn from Handbuch ; 1829 94 1829  to Handbuch [Link] 2: 94. 1831 , according to IPNI. Information provided by Alan E. on email Jul. 15 2020. More details could be found in <a href=http://www.theplantlist.org/t",http://www.theplantlist.org/tpl1.1/record/rjp-32605,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,rjp-32605,"",FALSE,"","",""
Rosa dumalis Bechst.,Plantae,Tracheophyta,Rosales,Rosaceae,Rosa,Rosa dumalis,SPECIES,NE,10.423522,63.445355,1000,1990,f06ed729-104f-4e51-9db3-dfd9b228a1be,Rosa dumalis Bechst.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,8,1,2,wfo-0001014303,"",60092,Rosa dumalis,species,"",Boulenger,Rosaceae,"","",,Rosa,"",dumalis,"",species,"",; 1927 113 1927,Unchecked,"","",,Source in seed data: rjp More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/rjp-60092 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/rjp-60092 >The Plant List v.1.0</a>,http://www.theplantlist.org/tpl1.1/record/rjp-60092,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,rjp-60092,"",FALSE,"","",""
Rosa dumalis Bechst.,Plantae,Tracheophyta,Rosales,Rosaceae,Rosa,Rosa dumalis,SPECIES,NE,10.423522,63.445355,1000,1990,f06ed729-104f-4e51-9db3-dfd9b228a1be,Rosa dumalis Bechst.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,8,1,3,wfo-0001014322,"",60130,Rosa dumalis,species,"",Baker,Rosaceae,"","",,Rosa,"",dumalis,"",species,"",; 1864 94 1864,Unchecked,"","",,Source in seed data: rjp More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/rjp-60130 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/rjp-60130 >The Plant List v.1.0</a>,http://www.theplantlist.org/tpl1.1/record/rjp-60130,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,rjp-60130,"",FALSE,"","",""
Potentilla verna L.,Plantae,Tracheophyta,Rosales,Rosaceae,Potentilla,Potentilla verna,SPECIES,NE,10.421625,63.44528,5,2022,b124e1e0-4755-430f-9eab-894f25a9b59c,Potentilla verna L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,8,2,1,wfo-0001018383,urn:lsid:ipni.org:names:727778-1,9267,Potentilla brauniana,species,wfo-4000031030,Hoppe ex Nestl.,Rosaceae,"","",,Potentilla,"",brauniana,"",species,Valid,Monogr. Potentilla : 70 (1816),Accepted,"","",,"Source in seed data: rjp Update namepublishedIn from Botanisches Taschenbuch ; 1790 137 1800  to Monogr. Potentilla : 70 (1816), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1",http://www.theplantlist.org/tpl1.1/record/rjp-9267,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,rjp-9267,"",TRUE,Synonym,wfo-0001008528,Potentilla verna var. nana
Mesoptychia bantriensis,Plantae,Marchantiophyta,Jungermanniales,Jungermanniaceae,Mesoptychia,Mesoptychia bantriensis,SPECIES,NE,10.4235,63.4454,1414,1888,6728c42d-c4b6-4fda-a211-5ad1bb59cda4,Mesoptychia bantriensis (Hook.) L.Söderstr. & Váňa,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,3,1,wfo-1000010158,"","",Mesoptychia bantriensis,species,"",(Hook.) L. Söderstr. & Váňa,Jungermanniaceae,"","",,Mesoptychia,"",bantriensis,"",species,"",Phytotaxa. 65: 52. 2012,Unchecked,"","",,"","",The Bryophyte TEN,B,"","",FALSE,"","",""
Echium vulgare L.,Plantae,Tracheophyta,Boraginales,Boraginaceae,Echium,Echium vulgare,SPECIES,NE,10.427276,63.444076,5,2023,b124e1e0-4755-430f-9eab-894f25a9b59c,Echium vulgare L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,9,4,1,wfo-0000663145,urn:lsid:ipni.org:names:115950-1,912413,Echium vulgare,species,wfo-4000012976,L.,Boraginaceae,"","",,Echium,"",vulgare,"",species,Valid,Sp. Pl. : 139 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 1: 139. 1753 [1 May 1753]  to Sp. Pl. : 139 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-27",http://www.theplantlist.org/tpl1.1/record/kew-2784423,The Boraginaceae TEN,A,kew-2784423,"",TRUE,Synonym,wfo-0001215606,Echium vulgare f. vulgare
Weissia controversa Hedw.,Plantae,Bryophyta,Pottiales,Pottiaceae,Weissia,Weissia controversa,SPECIES,NE,10.4226,63.4447,1,2009,6728c42d-c4b6-4fda-a211-5ad1bb59cda4,Weissia controversa Hedw.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,6,5,1,wfo-0001161677,35127627,35127627,Weissia controversa,species,wfo-4000040604,Hedw.,Pottiaceae,"","",,Weissia,"",controversa,"",species,Valid,Sp. Musc. Frond. 67 1801,Accepted,"","",,Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-35127627 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-35127627 >The Plant List v.1.0</a>,http://www.theplantlist.org/tpl1.1/record/tro-35127627,The Bryophyte TEN,B,tro-35127627,"",FALSE,"","",""
Ptychostomum compactum Hornsch.,Plantae,Bryophyta,Bryales,Bryaceae,Ptychostomum,Ptychostomum compactum,SPECIES,NE,10.4235,63.4454,1414,1890,6728c42d-c4b6-4fda-a211-5ad1bb59cda4,Ptychostomum compactum Hornsch.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,9,6,1,wfo-0001171848,35144225,35144225,Ptychostomum pendulum,species,wfo-4000032141,Hornsch.,Bryaceae,"","",,Ptychostomum,"",pendulum,"",species,Valid,Syll. Pl. Nov. 1: 64 1822,Accepted,"","",,Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-35144225 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-35144225 >The Plant List v.1.0</a>,http://www.theplantlist.org/tpl1.1/record/tro-35144225,The Bryophyte TEN,B,tro-35144225,"",TRUE,Synonym,wfo-0001171847,Ptychostomum compactum
Cotoneaster acutifolius Turcz.,Plantae,Tracheophyta,Rosales,Rosaceae,Cotoneaster,Cotoneaster acutifolius,SPECIES,NE,10.427267,63.444047,5,2012,b124e1e0-4755-430f-9eab-894f25a9b59c,Cotoneaster acutifolius Turcz.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,7,7,1,wfo-0000984037,urn:lsid:ipni.org:names:722393-1,1086,Cotoneaster acutifolius,species,wfo-4000009472,Turcz.,Rosaceae,"","",,Cotoneaster,"",acutifolius,"",species,Valid,Bull. Soc. Imp. Naturalistes Moscou 5: 190 (1832),Accepted,"","",,"Source in seed data: rjp Update namepublishedIn from Bull. Soc. Imp. Naturalistes Moscou 4: 190. 1832  to Bull. Soc. Imp. Naturalistes Moscou 5: 190 (1832), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http",http://www.theplantlist.org/tpl1.1/record/rjp-1086,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,rjp-1086,"",FALSE,"","",""
Cotoneaster acutifolius Turcz.,Plantae,Tracheophyta,Rosales,Rosaceae,Cotoneaster,Cotoneaster acutifolius,SPECIES,NE,10.427267,63.444047,5,2012,b124e1e0-4755-430f-9eab-894f25a9b59c,Cotoneaster acutifolius Turcz.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,7,7,2,wfo-0001017650,urn:lsid:ipni.org:names:722565-1,838,Cotoneaster lucidus,species,wfo-4000009472,Schltdl.,Rosaceae,"","",,Cotoneaster,"",lucidus,"",species,Valid,Linnaea 27: 541 (1854),Accepted,"","",,"Source in seed data: rjp Update namepublishedIn from ; 1854 541 1854  to Linnaea 27: 541 (1854), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/rjp-838 >The Plant Lis",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:722565-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,rjp-838,"",TRUE,Synonym,wfo-0000988920,Cotoneaster acutifolius
