species,author,popularNameNO,establishmentClass,alienStatus,riskCategory,validScientificName,validScientificName.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.toomany,Fuzzy.two,Fuzzy.one,Fuzzy.dist,OriSeq,Subseq,taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,references,source,majorGroup,tplID,Hybrid,New.accepted,Old.status,Old.ID,Old.name,One.Reason
Abies alba,Mill.,edelgran,E,Etablert per år 1800,NR,Abies alba Mill.,Abies alba Mill.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,6,1,1,wfo-0000510976,urn:lsid:ipni.org:names:60468511-2,381621,Abies alba,species,wfo-4000000038,Mill.,Pinaceae,"","",,Abies,"",alba,"",species,Valid,Gard. Dict. ed. 7 : n.º 1 (1756),Accepted,"",wfo-0000481906,,"Source in seed data: wcs Updated majorGroup from A to G, information provided by Alan E. on email Nov. 08 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2609691 >The Plant List v.1.1.</a> Originally in <a href=h",http://www.theplantlist.org/tpl1.1/record/kew-2609691,The Conifer Taxonomic Expert Network,G,kew-2609691,"",FALSE,"","","",Not a synonym
Abies amabilis,(Douglas ex Loudon) J.Forbes,stillehavsedelgran,C2,Selvstendig reproduserende,LO,Abies amabilis,Abies amabilis (Douglas ex Loudon) J.Forbes,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,2,1,wfo-0000510989,urn:lsid:ipni.org:names:325658-2,381632,Abies amabilis,species,wfo-4000000038,Douglas ex J.Forbes,Pinaceae,"","",,Abies,"",amabilis,"",species,Valid,Pinet. Woburn. : 125 (1839),Accepted,"",wfo-0000482032,,"Source in seed data: wcs Updated majorGroup from A to G, information provided by Alan E. on email Nov. 08 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2609703 >The Plant List v.1.1.</a> Originally in <a href=h",http://www.theplantlist.org/tpl1.1/record/kew-2609703,The Conifer Taxonomic Expert Network,G,kew-2609703,"",FALSE,"","","",Not a synonym
Abies balsamea,(L.) Mill.,balsamedelgran,D1,Selvstendig reproduserende,PH,Abies balsamea,Abies balsamea (L.) Mill.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,3,1,wfo-0000511004,urn:lsid:ipni.org:names:1084057-2,381647,Abies balsamea,species,wfo-4000000038,(L.) Mill.,Pinaceae,"","",,Abies,"",balsamea,"",species,Valid,Gard. Dict. ed. 8 : n.º 3 (1768),Accepted,"",wfo-0000482342,,"Source in seed data: wcs Updated majorGroup from A to G, information provided by Alan E. on email Nov. 08 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2609719 >The Plant List v.1.1.</a> Originally in <a href=h",http://www.theplantlist.org/tpl1.1/record/kew-2609719,The Conifer Taxonomic Expert Network,G,kew-2609719,"",FALSE,"","","",""
Abies cephalonica,Loudon,gresk edelgran,C2,Selvstendig reproduserende,LO,Abies cephalonica Loudon,Abies cephalonica Loudon,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,7,4,1,wfo-0000511042,urn:lsid:ipni.org:names:261486-1,381681,Abies cephalonica,species,wfo-4000000038,Loudon,Pinaceae,"","",,Abies,"",cephalonica,"",species,Valid,Gard. Mag. (London) 14: 81 (1838),Accepted,"","",,"Source in seed data: wcs Updated majorGroup from A to G, information provided by Alan E. on email Nov. 08 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2609753 >The Plant List v.1.1.</a> Originally in <a href=h",http://www.theplantlist.org/tpl1.1/record/kew-2609753,The Conifer Taxonomic Expert Network,G,kew-2609753,"",FALSE,"","","",""
Abies concolor,(Gordon & Glend.) Lindl. ex Hildebr.,koloradoedelgran,C2,Selvstendig reproduserende,HI,Abies concolor,Abies concolor (Gordon & Glend.) Lindl. ex Hildebr.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,5,1,wfo-0000511077,urn:lsid:ipni.org:names:1031026-2,381713,Abies concolor,species,wfo-4000000038,(Gordon & Glend.) Lindl. ex Hildebr.,Pinaceae,"","",,Abies,"",concolor,"",species,Valid,Verh. Naturhist. Vereines Preuss. Rheinl. Westphalens 18: 261 (1861),Accepted,"",wfo-0000482497,,"Source in seed data: wcs Updated majorGroup from A to G, information provided by Alan E. on email Nov. 08 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2609785 >The Plant List v.1.1.</a> Originally in <a href=h",http://www.theplantlist.org/tpl1.1/record/kew-2609785,The Conifer Taxonomic Expert Network,G,kew-2609785,"",FALSE,"","","",""
Abies grandis,(Douglas ex D.Don) Lindl.,kjempeedelgran,C3,Selvstendig reproduserende,PH,Abies grandis,Abies grandis (Douglas ex D.Don) Lindl.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,6,1,wfo-0000511178,urn:lsid:ipni.org:names:1033427-2,381804,Abies grandis,species,wfo-4000000038,(Douglas ex D.Don) Lindl.,Pinaceae,"","",,Abies,"",grandis,"",species,Valid,Penny Cyclop. 1: 30 (1833),Accepted,"",wfo-0000481382,,"Source in seed data: wcs Updated majorGroup from A to G, information provided by Alan E. on email Nov. 08 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2609877 >The Plant List v.1.1.</a> Originally in <a href=h",http://www.theplantlist.org/tpl1.1/record/kew-2609877,The Conifer Taxonomic Expert Network,G,kew-2609877,"",FALSE,"","","",Not a synonym
Abies koreana,E.H. Wilson,koreaedelgran,C2,Selvstendig reproduserende,LO,Abies koreana E.H. Wilson,Abies koreana E.H. Wilson,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,12,7,1,wfo-0000511223,urn:lsid:ipni.org:names:676582-1,381844,Abies koreana,species,wfo-4000000038,E.H.Wilson,Pinaceae,"","",,Abies,"",koreana,"",species,Valid,J. Arnold Arbor. 1: 188 (1920),Accepted,"","",,"Source in seed data: wcs Updated majorGroup from A to G, information provided by Alan E. on email Nov. 08 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2609917 >The Plant List v.1.1.</a> Originally in <a href=h",http://www.theplantlist.org/tpl1.1/record/kew-2609917,The Conifer Taxonomic Expert Network,G,kew-2609917,"",FALSE,"","","",""
Abies lasiocarpa,(Hook.) Nutt.,fjelledelgran,C3,Selvstendig reproduserende,HI,Abies lasiocarpa,Abies lasiocarpa (Hook.) Nutt.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,8,2,wfo-0000511232,urn:lsid:ipni.org:names:1081948-2,381853,Abies lasiocarpa,species,wfo-4000000038,(Hook.) Nutt.,Pinaceae,"","",,Abies,"",lasiocarpa,"",species,Valid,N. Amer. Sylv. 3: 138 (1849),Accepted,"",wfo-0000481073,,"Source in seed data: wcs Updated majorGroup from A to G, information provided by Alan E. on email Nov. 08 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2609926 >The Plant List v.1.1.</a> Originally in <a href=h",http://www.theplantlist.org/tpl1.1/record/kew-2609926,The Conifer Taxonomic Expert Network,G,kew-2609926,"",FALSE,"","","",Not a synonym
Abies magnifica,A.Murray bis,praktedelgran,C1,Dørstokkart,NK,Abies magnifica A.Murray bis,Abies magnifica A.Murray bis,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,13,9,1,wfo-0000511249,urn:lsid:ipni.org:names:325664-2,381868,Abies magnifica,species,wfo-4000000038,A.Murray bis,Pinaceae,"","",,Abies,"",magnifica,"",species,Valid,Proc. Roy. Hort. Soc. London 3: 318 (1863),Accepted,"","",,"Source in seed data: wcs Updated majorGroup from A to G, information provided by Alan E. on email Nov. 08 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2609941 >The Plant List v.1.1.</a> Originally in <a href=h",http://www.theplantlist.org/tpl1.1/record/kew-2609941,The Conifer Taxonomic Expert Network,G,kew-2609941,"",FALSE,"","","",""
Abies mariesii,Mast.,mariesedelgran,B2,Dørstokkart,NK,Abies mariesii Mast.,Abies mariesii Mast.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,6,10,1,wfo-0000511255,urn:lsid:ipni.org:names:261575-1,381874,Abies mariesii,species,wfo-4000000038,Mast.,Pinaceae,"","",,Abies,"",mariesii,"",species,Valid,"Gard. Chron. , n.s., 12: 789 (1879)",Accepted,"","",,"Source in seed data: wcs Updated majorGroup from A to G, information provided by Alan E. on email Nov. 08 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2609947 >The Plant List v.1.1.</a> Originally in <a href=h",http://www.theplantlist.org/tpl1.1/record/kew-2609947,The Conifer Taxonomic Expert Network,G,kew-2609947,"",FALSE,"","","",""
