validScientificName,scientificNameAuthorship,phylum,order,family,genus,taxonRank,iucnRedListCategory,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,year,nomenclaturalStatus,taxonomicStatus,New.accepted,Old.name,One.Reason,datasetKey,popularNameNO,establishmentClass,alienStatus,riskCategory
Acer pseudoplatanus,L.,Tracheophyta,Sapindales,Sapindaceae,Acer,species,LC,10.421859,63.445236,23,2021,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c,platanlønn,E,Selvstendig reproduserende,SE
Achillea millefolium,L.,Tracheophyta,Asterales,Asteraceae,Achillea,species,LC,10.421715,63.445212,10,2020,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c,ryllik,D1,Selvstendig reproduserende,LO
Achillea ptarmica,L.,Tracheophyta,Asterales,Asteraceae,Achillea,species,LC,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Achillea ptarmica f. ptarmica,"",f06ed729-104f-4e51-9db3-dfd9b228a1be,nyseryllik,C3,Etablert per år 1800,NR
Actaea rubra,(Aiton) Willd.,Tracheophyta,Ranunculales,Ranunculaceae,Actaea,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,TRUE,Actaea spicata var. alba,smallest ID,f06ed729-104f-4e51-9db3-dfd9b228a1be,amerikatrollbær,B2,Dørstokkart,LO
Aegopodium podagraria,L.,Tracheophyta,Apiales,Apiaceae,Aegopodium,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be,skvallerkål,C3,Etablert per år 1800,NR
Alchemilla subcrenata,Buser,Tracheophyta,Rosales,Rosaceae,Alchemilla,species,NE,10.423522,63.445355,1000,1990,Valid,Accepted,FALSE,"",Accepted,f06ed729-104f-4e51-9db3-dfd9b228a1be,engmarikåpe,C3,Selvstendig reproduserende,LO
Alchemilla wichurae,(Buser) Stefánsson,Tracheophyta,Rosales,Rosaceae,Alchemilla,species,NE,10.421715,63.445212,10,2020,Valid,Accepted,FALSE,"",Not a synonym,b124e1e0-4755-430f-9eab-894f25a9b59c,skarmarikåpe,C0,Dørstokkart,LO
Anthriscus sylvestris,(L.) Hoffm.,Tracheophyta,Apiales,Apiaceae,Anthriscus,species,NE,10.42185,63.445276,25,2012,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c,hundekjeks,A,Dørstokkart,LO
Aquilegia vulgaris,L.,Tracheophyta,Ranunculales,Ranunculaceae,Aquilegia,species,NE,10.422721,63.444674,5,2022,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c,akeleie,C3,Etablert per år 1800,NR
Arabis caucasica,Willd.,Tracheophyta,Brassicales,Brassicaceae,Arabis,species,NE,10.427024,63.444321,5,2020,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c,hageskrinneblom,E,Selvstendig reproduserende,SE
