validScientificName,scientificNameAuthorship,popularName,phylum,order,family,genus,taxonRank,iucnRedListCategory,riskCategory,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,year,taxonomicStatus,nomenclaturalStatus,New.accepted,Old.name,One.Reason,datasetKey,seedStructure,lifeCycleHabit,growthHabit,c,s,r,csr,moisture,soilReaction,nitrogen,salinity,grazing.Mowing,calcareousRock,moistMeadow,moistCalcareousMeadow,aesthetics / sense of place,"kowledge and information - cultural relations (local history, stories etc.)",Other Information,Link,biologicalPriority,environmentalPriority,socialPriority,priorityLevel
Sagina procumbens,L.,tunarve,Tracheophyta,Caryophyllales,Caryophyllaceae,Sagina,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,TRUE,Sagina procumbens var. compacta,"",f06ed729-104f-4e51-9db3-dfd9b228a1be,Dicot,perennial,"",,,,R*,4,6,6,2,5,0,1,0,flowers usually appear white,Unavailable,"A perennial or subshrub or common weed that grows primarily in the temperate biome1, It has environmental uses1. It’s also known as bird’s-eye pearlwort2. ",https://en.wikipedia.org/wiki/Sagina_procumbens,1,23,1,1
Cerastium fontanum,Baumg.,arve,Tracheophyta,Caryophyllales,Caryophyllaceae,Cerastium,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be,Dicot,perennial,forb,10.47,12.32,77.21,R/SR,6,6,5,2,6,1,1,1,white flowers sit many together on short stalks in a tassel,Unavailable,"Native to Europe but introduced elsewhere3. It’s used in phylogenetic studies4. Known as mouse-ear chickweed, it is a species of mat-forming perennial or, rarely, annual plant3. It has tear-shaped leaves growing opposite one another in a star pattern, hairy leaves, and small white flowers3.","",1,25,1,1
Arenaria serpyllifolia,L.,sandarve,Tracheophyta,Caryophyllales,Caryophyllaceae,Arenaria,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be,Dicot,perennial,forb,0,45.38,54.62,SR,3,6,4,1,6,1,0,0,flowers sit in a tassel and are small and white,Unavailable,"Known as thyme-leaf sandwort, it is an annual or biennial flowering plant in the pink and carnation family Caryophyllaceae7. It has linear, grey-green glabrous and glaucous leaves8.",https://snl.no/sandarve,1,20,1,1
Silene uniflora,Roth,strandsmelle,Tracheophyta,Caryophyllales,Caryophyllaceae,Silene,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be,"","","",,,,"",5,7,5,3,3,2,0,0,"flowers white with five deeply notched petals, the 5 sepals fused and inflated to form a bladder",Unavailable,"Native to Eurasia but it is widespread around other parts of the temperate world as an introduced species and a common weed10. It’s used in biogeographical studies11.Known as sea campion, it is a low-growing, semi-evergreen perennial forming a mat of smooth, blue-green, waxy leaves which are lanceolate, stalkless and borne in opposite pairs10. It has white flowers with five deeply notched petals10.",https://no.wikipedia.org/wiki/Strandsmelle,1,23,1,1
Carex ornithopoda,Willd.,fuglestarr,Tracheophyta,Poales,Cyperaceae,Carex,species,NE,LC,10.421841,63.445188,5,2022,Accepted,Valid,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c,Monocot,perennial,graminoid,8.31,70.99,20.71,S/SR,5,8,2,1,5,2,0,5,flower spikes are russet in colour,Unavailable,"Known as bird’s foot sedge, it is a species of flowering plant in the genus Carex7. A variegated cultivar is commercially available7.",https://www.backyardgardener.com/plantname/carex-ornithopoda-birds-foot-sedge/,1,21,1,1
Equisetum pratense,Ehrh.,engsnelle,Tracheophyta,Equisetales,Equisetaceae,Equisetum,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be,"","","",,,,"",6,6,5,1,2,0,1,0,whitish-green and slender sterile stems,Unavailable,"Commonly known as meadow horsetail, shade horsetail or shady horsetail. It can be commonly found in forests with tall trees or very thick foliage that can provide shade and tends to grow closer and thicker around streams, ponds and rivers1.2",https://en.wikipedia.org/wiki/Equisetum_pratense,1,20,1,1
Juncus gerardii,Loisel.,saltsiv,Tracheophyta,Poales,Juncaceae,Juncus,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be,Monocot,perennial,graminoid,9.38,67.98,22.63,S/SR,9,8,5,4,5,0,0,3,The flowers sit in a tassel at the top of the stem,Unavailable,"This plant is a loosely tufted herb from short to elongate, extensive rhizomes. Stems are erect, 25-75 cm long[11. Leaves are located on the lower parts of the stem extending at least halfway up, flat, 1.5-3 mm wide[11. Flowers are bright pink and star-shaped with five petals[11.  Cattle may eat saltmarsh rush, but other livestock avoid it. Rabbits sometimes eat its flowers[11.  Saltmarsh rush inhabits salt marshes but has spread away from the coast along salted roadways[12.  It is now found in Vermont where it is introduced[11.  It is mainly a coastal species occurring at the high tide mark on the Mediterranean Atlantic Baltic and Black sea shorelines of Europe and the east coast of North America[12.  It also occurs inland in parts of eastern Europe west and central Asia particularly on saline soils[12.  In North America it occurs along the shorelines of areas once flooded by the sea and as a weed along railway lines for example in Minnesota[12.  In Indiana it is the only Juncus species found in the Tipton Till Plain a Till Plain in the Glacial till plains[12.  It is native to Europe and Western Asia where it grows in moist meadows[8.  Description Hypericum maculatum is a hairless perennial herbaceous plant growing to about 60 cm. The stem is square in cross section but without the wings shown in H. tetrapterum. The leaves are simple entire (undivided) and in opposite pairs without stipules and have few or no translucent glands. There may be black dots on the leaves petals and sepals 1 The flowers are yellow up to about 25mm across. The species hybridises with Hypericum perforatum to produce Des Etang’s St John’s wort Hypericum x desetangsii 1 Uses It is considered to be a medicinal plant 4 Hypericum maculatum herb has been used in the traditional Austrian medicine internally as tea or oil extract and externally as oil extract ointment or cold maceration in ethanol for treatment of disorders of the skin locomotor system nervous system gastrointestinal tract respiratory tract kidneys and urinary tract cardiovascular system infections rheumatism and gout. References ^ a b c Stace C. A. (2010). New Flora of the British Isles (Third ed.). Cambridge U.K.: Cambridge University Press. ISBN 9780521707725. ^ BSBI List 2007 (xls). Botanical Society of Britain and Ireland. Archived from the original (xls) on 2015-06-26. Retrieved 2014-10-17. ^ USDA NRCS (n.d.). """"Hypericum maculatum"""". The PLANTS Database (plants.usda.gov). Greensboro North Carolina: National Plant Data Team. Retrieved 15 May 2015. ^ Băcilă I. et al. (2010). Micropropagation of Hypericum maculatum Cranz an important medicinal plant. Rom Biotechnol Lett 15 86-91. \n This Poales -related article is a stub. You can help Wikipedia by expanding it."""",“Hypericum / ˌhaɪˈpiːrɪkəm / is a genus of flowering plants in the family Hypericaceae (formerly considered a subfamily of Clusiaceae ). 34 The genus has a nearly worldwide distribution missing only from tropical lowlands deserts and polar regions. 5 Many Hypericum species are regarded as invasive species and noxious weeds.”],“url”:“9”},{“title”:“E-Flora BC: Electronic Atlas of the Flora of BC - University of British …”,“snippets”:[“General: Perennial, loosely tufted herb from short to elongate, extensive rhizomes; stems erect, 25-75 cm long. Leaves: Located on the lower parts of the stem extending at least halfway up, flat, 1.5-3 mm wide, lacking cross-walls, with ear-shaped lobes.”],“url”:“13”}]}",https://snl.no/saltsiv,1,31,1,1
Corydalis intermedia,(L.) Mérat,lerkespore,Tracheophyta,Ranunculales,Papaveraceae,Corydalis,species,NE,LC,10.422119,63.445408,8,2023,Accepted,Valid,FALSE,"","",50c9509d-22c7-4a22-a47d-8c48425ef4a7,"","","",,,,"",4,6,7,1,5,2,0,0,Red-purple flowers,Unavailable,Lovely Scent,https://www.facebook.com/ellypropellys.stauder/photos/lerkespore-corydalis-craigton-blue-planten-som-har-alt-fra-de-mest-delikate-blom/767091330038419/,1,23,1,1
Rosa majalis,Herrm.,kanelrose,Tracheophyta,Rosales,Rosaceae,Rosa,species,NE,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,"",Accepted,f06ed729-104f-4e51-9db3-dfd9b228a1be,Dicot,perennial,shrub,,,,"",6,6,5,1,4,1,2,1,decedious shrubs with pink flowers,Unavailable,"They were favorite flowers in ancient Egypt, where they used the fragrant petals to freshen up the air, and rose water as perfume. ",https://www.rolv.no/bilder/galleri/medplant/rosa_spp.htm,1,22,1,1
Alchemilla micans,Buser,glansmarikåpe,Tracheophyta,Rosales,Rosaceae,Alchemilla,species,NE,LC,10.4236,63.4449,7,2008,Accepted,Valid,FALSE,"","",d29d79fd-2dc4-4ef5-89b8-cdf66994de0d,Dicot,"","",,,,"",5,6,5,1,6,0,3,2,inflorescence,"","Lady's robe is an herb that has always belonged Women. The combination of the herb's ingredients, especially tannins and the bitter substances, have a balancing and regulating effect on the whole female organism.",Unavailable,1,23,1,1
