validScientificName,popularName,priorityLevel
Festuca ovina,sauesvingel,2
Antennaria dioica,kattefot,2
Pilosella officinarum,hårsveve,2
Berberis lycium,berberis,3
Draba verna,vårrublom,2
Draba incana,lodnerublom,3
Arabis hirsuta,bergskrinneblom,3
Arabidopsis thaliana,Vårskrinneblom,2
Campanula rotundifolia,blåklokke,2
Sagina nodosa,knopparve,2
Sagina procumbens,tunarve,1
Cerastium fontanum,arve,1
Arenaria serpyllifolia,sandarve,1
Silene uniflora,strandsmelle,1
Sedum acre  subsp. majus,bitterbergknapp,2
Juniperus communis,einer,2
Carex ornithopoda,fuglestarr,1
Equisetum pratense,engsnelle,1
Lotus corniculatus,tiriltunge,2
Anthyllis vulneraria,rundbelg,2
Lathyrus niger,svarterteknapp,3
Ribes alpinum var. pilosum,alperips,2
Hypericum perforatum,prikkperikum,2
Hypericum maculatum,firkantperikum,2
Juncus gerardii,saltsiv,1
Juncus bufonius,paddesiv,2
Clinopodium acinos,"bakkemynte, kransmynte",2
Gagea lutea,gullstjerne,2
Linum catharticum,vill-lin,2
Euphrasia stricta,kjerteløyentrøst,2
Rhinanthus minor subsp. minor,slåttekall,2
Corydalis intermedia,lerkespore,1
Pinus sylvestris,furu,3
Veronica serpyllifolia,bleikveronika,2
Plantago maritima  subsp. ciliata,strandkjempe,2
Nardus stricta var. minor,finnskjegg,2
Anthoxanthum odoratum,gulaks,2
Deschampsia cespitosa,kvassbunke,2
Potentilla brauniana,dvergvårmure,3
Hedlundia hybrida,rognasal,2
Rosa majalis,kanelrose,1
Rosa mollis f. atona,bustnype,2
Alchemilla filicaulis,grannmarikåpe,3
Alchemilla micans,glansmarikåpe,1
Potentilla crantzii,flekkmure,2
Aria edulis,sølvasal,2
Aria rupicola,bergasal,2
Galium verum,gulmaure,2
Galium boreale,hvitmaure,1
Saxifraga tridactylites,trefingersildre,3
Viola adunca,engfiol,3
"","",
Average,"",
