,,LIGHT,TEMPERATURE,MOISTURE,REACTION,NUTRIENTS,SALINITY
SeqID,Taxon,Average,Average,Average,Average,Average,Average
1,Abies alba,x,4.7,6.1,5.3,5.5,0.0
2,Abies borisii-regis,6.0,NA,4.9,7.1,4.3,0.0
3,Abies cephalonica,8.0,7.0,4.0,6.0,5.0,0.0
4,Abies grandis,7.0,4.0,5.0,4.0,5.0,0.0
5,Abies nebrodensis,3.0,7.0,3.0,6.0,3.0,0.0
6,Abies nordmanniana,7.0,4.0,5.0,4.0,5.0,0.0
7,Abies pinsapo,8.0,7.0,4.0,7.0,4.0,0.0
8,Abutilon theophrasti,7.5,x,5.2,6.6,x,0.4
9,Acacia dealbata,8.5,8.7,5.0,5.5,4.0,0.0
10,Acacia saligna,8.5,9.0,5.0,5.5,4.0,3.0
11,Acantholimon ulicinum,9.0,7.0,4.0,7.0,4.0,0.0
12,Acanthus hungaricus,5.2,6.3,4.8,6.8,4.0,0.0
13,Acanthus mollis,6.0,8.3,3.5,7.0,7.5,0.0
14,Acanthus spinosus,7.5,10.5,3.5,5.0,5.5,0.0
15,Acer campestre,5.7,x,x,7.3,5.4,0.0
16,Acer cappadocicum aggr.,6.5,6.5,4.0,7.0,5.0,0.0
17,Acer hyrcanum,5.0,5.3,6.3,NA,NA,NA
18,Acer monspessulanum,6.5,8.0,3.3,7.8,4.3,0.0
19,Acer negundo,6.2,6.4,6.2,6.8,6.8,0.2
20,Acer opalus aggr.,x,x,4.3,7.2,5.7,0.0
21,Acer platanoides,4.7,5.8,5.6,6.5,6.3,0.0
22,Acer pseudoplatanus,4.7,x,x,5.8,6.6,0.0
23,Acer sempervirens,5.0,NA,5.0,7.0,4.0,0.0
24,Acer tataricum,5.0,6.8,5.1,7.0,4.0,1.0
25,Achillea ageratifolia,9.0,7.4,2.1,7.5,1.8,0.0
26,Achillea ageratum,8.0,8.3,6.5,6.0,5.0,0.0
27,Achillea aspleniifolia,8.0,6.7,6.0,7.0,4.5,2.7
28,Achillea atrata,9.0,1.5,5.0,8.0,3.0,0.0
29,Achillea barrelieri,9.0,3.5,2.0,7.0,1.0,0.0
30,Achillea carpatica,7.5,3.5,6.3,NA,NA,NA
31,Achillea clavennae,8.5,2.3,4.0,7.5,3.0,0.0
32,Achillea clusiana,9.0,2.0,5.0,9.0,3.0,0.0
33,Achillea clypeolata,8.4,7.1,3.2,7.2,2.7,0.1
34,Achillea coarctata,8.4,7.5,2.8,6.4,2.6,0.1
35,Achillea cretica,8.0,11.0,3.0,8.0,6.0,3.0
36,Achillea crithmifolia,7.0,7.3,4.5,5.5,4.5,0.0
37,Achillea distans,7.1,x,4.8,5.7,4.2,0.0
38,Achillea erba-rotta,9.0,1.3,4.8,2.5,1.8,0.0
39,Achillea euxina,8.5,5.8,5.3,NA,NA,NA
40,Achillea filipendulina,8.0,7.0,4.0,8.0,7.0,0.0
41,Achillea fraasii,8.9,7.1,3.4,6.7,2.9,0.0
42,Achillea glaberrima,8.5,5.3,5.3,NA,NA,NA
43,Achillea holosericea,8.6,6.7,3.2,6.8,3.1,0.0
44,Achillea horanszkyi,8.0,8.0,2.0,7.0,1.0,0.0
45,Achillea inundata,8.0,5.0,7.0,NA,NA,NA
46,Achillea leptophylla,8.5,5.3,2.4,NA,NA,NA
47,Achillea ligustica,7.5,9.0,4.0,5.7,4.5,0.0
48,Achillea lingulata,7.1,4.6,5.7,NA,NA,NA
49,Achillea macrophylla,6.3,2.3,6.0,6.3,7.7,0.0
